region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
LGA22910,12,1429,1441,33,3617,3650,4,251,255,3,223,226,40,4091,4131,3,193,196,55,5713,5768
LGA22980,19,808,827,20,1243,1263,0,88,88,3,69,72,23,1400,1423,5,86,91,47,2294,2341
LGA23110,59,6793,6852,125,20899,21024,12,910,922,15,1231,1246,152,23040,23192,13,1084,1097,224,30917,31141
LGA23190,45,2125,2170,66,4537,4603,3,297,300,10,283,293,79,5117,5196,10,258,268,134,7500,7634
LGA23270,77,9497,9574,345,36843,37188,10,1434,1444,31,1828,1859,386,40105,40491,30,2148,2178,493,51750,52243
LGA23350,16,1302,1318,43,3707,3750,3,208,211,3,163,166,49,4078,4127,0,167,167,65,5547,5612
LGA23430,46,10199,10245,148,37876,38024,3,1446,1449,11,1830,1841,162,41152,41314,14,1873,1887,222,53224,53446
LGA23670,36,7567,7603,195,39974,40169,7,1307,1314,15,1392,1407,217,42673,42890,12,1548,1560,265,51788,52053
LGA23810,160,6971,7131,246,17327,17573,5,887,892,38,1159,1197,289,19373,19662,27,1128,1155,476,27472,27948
LGA23940,19,1057,1076,27,1576,1603,0,163,163,3,82,85,30,1821,1851,4,107,111,53,2985,3038
LGA24130,21,2227,2248,68,10723,10791,3,560,563,11,434,445,82,11717,11799,4,469,473,107,14413,14520
LGA24210,18,5785,5803,58,29741,29799,3,1068,1071,10,862,872,71,31671,31742,3,1075,1078,92,38531,38623
LGA24250,8,680,688,18,1914,1932,0,117,117,3,120,123,21,2151,2172,0,124,124,29,2955,2984
LGA24330,41,5435,5476,117,17864,17981,5,614,619,20,1279,1299,142,19757,19899,11,1064,1075,194,26256,26450
LGA24410,44,6152,6196,151,28649,28800,5,1036,1041,10,1279,1289,166,30964,31130,14,1045,1059,224,38161,38385
LGA24600,17,3651,3668,103,31654,31757,3,967,970,16,2475,2491,122,35096,35218,12,1077,1089,151,39824,39975
LGA24650,52,5377,5429,248,25615,25863,14,1010,1024,24,1379,1403,286,28004,28290,16,1240,1256,354,34621,34975
LGA24780,292,5336,5628,334,10940,11274,7,601,608,64,755,819,405,12296,12701,68,854,922,765,18486,19251
LGA24850,36,2356,2392,119,8010,8129,3,393,396,16,470,486,138,8873,9011,15,396,411,189,11625,11814
LGA24900,66,3258,3324,103,6147,6250,12,369,381,16,334,350,131,6850,6981,10,433,443,207,10541,10748
LGA24970,32,9685,9717,136,44719,44855,0,1559,1559,12,1414,1426,148,47692,47840,9,1810,1819,189,59187,59376
LGA25060,31,8557,8588,120,27817,27937,5,1030,1035,8,1538,1546,133,30385,30518,16,1436,1452,180,40378,40558
LGA25150,31,2065,2096,88,6732,6820,3,393,396,7,389,396,98,7514,7612,6,364,370,135,9943,10078
LGA25250,83,12686,12769,250,37035,37285,8,1386,1394,24,2298,2322,282,40719,41001,19,2054,2073,384,55459,55843
LGA25340,91,11169,11260,342,36749,37091,14,2003,2017,27,1838,1865,383,40590,40973,19,1898,1917,493,53657,54150
LGA25430,18,1776,1794,48,4394,4442,6,361,367,4,245,249,58,5000,5058,7,240,247,83,7016,7099
LGA25490,29,1484,1513,44,3602,3646,6,189,195,8,226,234,58,4017,4075,5,212,217,92,5713,5805
LGA25620,11,1236,1247,33,3183,3216,4,200,204,6,195,201,43,3578,3621,6,159,165,60,4973,5033
LGA25710,9,1725,1734,73,16057,16130,3,537,540,7,420,427,83,17014,17097,3,527,530,95,19266,19361
