region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
LGA13340,14,43,43,372,480,478,1018,943,944,1250,1200,1200,180,150,150,1.3,1.1,1.1,3.3,2.5,2.5,8.9,1.5,1.7
LGA13380,19,48,46,306,398,395,721,773,770,1300,1300,1300,190,200,200,1.2,1.1,1.1,3.3,2.3,2.4,8.6,2.0,2.3
LGA13450,21,37,36,362,539,531,794,1085,1067,1387,1517,1517,165,180,180,1.2,1.1,1.1,2.8,2.6,2.7,7.1,3.3,3.5
LGA13500,29,43,43,320,474,471,933,905,906,1300,1186,1186,76,145,140,1.1,1.1,1.1,3.3,2.4,2.5,0,1.8,1.8
LGA13550,19,42,40,365,500,485,782,959,935,1170,1300,1300,180,190,185,1.2,1.1,1.1,3.1,2.4,2.5,7.7,1.6,2.3
LGA13650,20,43,41,339,433,419,794,813,811,1224,1083,1083,175,130,150,1.3,1.1,1.1,3.8,2.4,2.6,11.7,1.8,2.6
LGA13660,17,46,45,336,389,387,738,721,723,867,910,899,140,100,100,1.2,1.1,1.1,3.6,2.3,2.3,13.9,1.7,2.1
LGA13700,21,48,47,363,428,424,675,767,763,763,1088,1083,160,135,140,1.1,1.1,1.1,3.1,2.3,2.3,11.1,1.2,1.7
LGA13800,20,37,36,427,627,622,1205,1391,1385,2080,2037,2037,265,280,280,1.2,1.1,1.1,3.4,2.8,2.8,10.1,2.9,3.1
LGA13850,18,45,43,377,447,443,766,805,802,760,1083,1057,120,120,120,1.3,1.1,1.1,3.3,2.3,2.4,5.7,1.0,1.3
LGA13950,24,34,34,432,517,517,1098,1211,1209,2167,2050,2058,285,330,330,1.2,1.2,1.2,3.1,2.8,2.8,13.2,8.7,8.7
LGA14000,25,39,39,557,682,682,1725,1824,1824,2383,2400,2400,356,402,401,1.1,1.1,1.1,3.3,2.9,2.9,4.8,3.3,3.3
LGA14100,16,42,42,67,823,821,3083,2181,2184,5063,3000,3000,475,390,390,1.3,1.1,1.1,2.0,2.6,2.6,20.0,1.7,1.7
LGA14150,24,38,37,445,540,540,1211,1286,1285,1733,2167,2167,310,350,350,1.3,1.2,1.2,3.1,2.8,2.8,13.5,7.0,7.0
LGA14200,19,42,41,306,441,430,735,797,792,1083,1200,1200,170,160,165,1.2,1.1,1.1,3.4,2.4,2.5,9.2,2.5,2.9
LGA14250,20,46,45,366,453,449,700,855,847,1500,1000,1083,0,80,80,1.1,1.1,1.1,2.6,2.5,2.5,0,1.9,1.8
LGA14300,30,40,39,344,479,472,771,902,893,1108,1192,1170,165,155,155,1.1,1.1,1.1,3.5,2.5,2.5,7.9,2.2,2.5
LGA14350,21,47,45,335,391,386,700,754,748,1300,1300,1300,178,200,190,1.3,1.1,1.1,3.3,2.3,2.4,13.6,2.8,3.9
LGA14400,21,45,45,484,564,563,1343,1234,1235,2600,1950,2000,300,300,300,1.2,1.1,1.1,3.1,2.5,2.5,8.1,1.4,1.6
LGA14450,24,37,37,593,605,605,1078,1465,1463,2167,2167,2167,410,380,380,1.2,1.2,1.2,2.9,2.8,2.8,10.7,6.7,6.7
LGA14500,27,41,41,700,814,814,2607,2508,2508,2950,3000,3000,640,575,575,1.2,1.1,1.1,3.2,2.9,2.9,4.1,1.6,1.6
LGA14550,23,46,45,310,380,377,700,716,715,1300,1100,1100,130,175,165,1.4,1.1,1.1,3.1,2.3,2.4,13.8,3.3,3.8
LGA14600,22,44,40,356,467,444,772,865,848,800,867,867,120,95,110,1.2,1.1,1.1,3.1,2.3,2.4,8.6,1.2,2.4
LGA14650,20,42,41,404,523,520,1038,1120,1117,1733,1745,1744,250,260,260,1.2,1.1,1.1,3.2,2.5,2.5,8.9,2.3,2.5
LGA14700,28,37,37,700,971,970,1424,2184,2180,1485,2730,2722,490,420,420,1.3,1.1,1.1,2.4,2.5,2.5,11.4,3.1,3.1
LGA14750,16,38,36,358,485,479,777,980,966,975,1300,1300,170,160,160,1.2,1.1,1.1,3.2,2.5,2.5,5.8,1.8,2.1
LGA14800,28,37,37,444,1093,1086,1066,2254,2235,2167,3000,3000,220,480,480,1.2,1.1,1.1,2.5,2.3,2.3,10.1,3.1,3.2
LGA14850,19,41,40,348,475,469,825,911,907,1517,1494,1495,220,225,220,1.2,1.1,1.1,3.2,2.4,2.4,11.3,2.6,3.0
LGA14870,21,43,42,368,454,450,961,893,895,1560,1413,1430,180,170,170,1.2,1.1,1.1,3.1,2.3,2.3,9.7,2.0,2.4
LGA14900,20,33,33,388,512,510,992,1305,1298,2167,2167,2167,240,300,296,1.2,1.2,1.2,3.2,3.2,3.2,10.6,6.9,7.0
