region_id,Med_age_persns_C2001,Med_age_persns_C2006,Med_age_persns_C2011,Med_mortg_rep_mon_C2001,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_person_inc_we_C2001,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_rent_weekly_C2001,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_Famly_inc_we_C2001,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Avg_num_p_per_brm_C2001,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Med_tot_hh_inc_wee_C2001,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Average_hh_size_C2001,Average_hh_size_C2006,Average_hh_size_C2011
LGA15550,34,35,37,716,867,1062,416,474,524,97,110,140,891,1048,1109,1.1,1.1,1.1,755,848,893,2.6,2.6,2.5
LGA15650,33,34,34,867,1257,1733,369,470,646,110,150,230,967,1226,1697,1.1,1.1,1.1,827,1070,1416,2.7,2.6,2.6
LGA15700,43,46,49,721,880,1200,253,297,378,120,145,195,552,687,853,1.1,1.1,1.1,469,565,702,2.4,2.3,2.3
LGA15750,36,38,39,758,951,1300,349,407,537,95,110,140,809,1039,1246,1.1,1.1,1.1,691,795,981,2.6,2.5,2.5
LGA15800,39,42,42,650,771,1075,336,378,454,90,108,140,811,930,1013,1.1,1.1,1.1,655,711,798,2.6,2.4,2.4
LGA15850,36,38,39,650,867,1083,326,393,489,90,110,145,745,948,1084,1.1,1.1,1.1,620,733,841,2.6,2.6,2.5
LGA15900,36,37,37,867,1300,1777,307,407,562,145,195,275,841,1146,1530,1.1,1.1,1.1,646,886,1164,2.3,2.3,2.4
LGA15950,34,35,36,1886,2383,2700,824,1001,1208,330,350,480,1877,2512,2768,1.1,1.1,1.2,1472,1702,2207,1.9,1.9,2.0
LGA16100,35,37,40,905,1100,1517,361,439,532,100,150,170,855,1123,1272,1.1,1.1,1.1,753,907,980,2.7,2.6,2.5
LGA16150,33,35,35,867,1257,1625,370,447,585,135,170,230,925,1153,1472,1.1,1.1,1.1,759,937,1177,2.6,2.5,2.5
LGA16180,38,40,40,1010,1600,2165,460,608,818,120,178,250,1189,1551,2104,1.1,1.1,1.1,961,1285,1783,2.7,2.7,2.7
LGA16200,36,39,40,710,975,1300,297,359,466,95,120,150,749,953,1131,1.1,1.1,1.1,614,709,891,2.6,2.5,2.5
LGA16250,34,34,33,1192,1733,2063,393,444,545,195,230,340,1034,1192,1451,1.2,1.2,1.2,881,1048,1283,2.7,2.7,2.7
LGA16350,30,32,34,1044,1560,1983,443,515,620,180,210,300,1094,1294,1582,1.1,1.1,1.1,986,1163,1396,3.0,2.9,2.9
LGA16370,38,40,42,1647,2178,3000,544,646,747,310,370,500,1450,1761,2137,1.1,1.1,1.1,1202,1451,1813,2.7,2.7,2.7
LGA16380,43,45,47,867,1278,1650,286,363,448,150,190,250,667,890,1008,1.1,1.1,1.1,556,710,838,2.4,2.3,2.3
LGA16400,37,40,42,867,1300,1725,314,389,497,140,180,250,778,1033,1246,1.1,1.1,1.1,662,831,998,2.6,2.5,2.5
LGA16470,33,34,35,932,1500,2000,465,640,839,120,185,285,1102,1524,2066,1.1,1.1,1.1,881,1209,1654,2.6,2.6,2.5
LGA16550,34,35,35,1543,2143,2600,489,587,711,280,310,445,1252,1577,2066,1.2,1.2,1.2,1022,1212,1574,2.4,2.4,2.4
LGA16610,38,41,43,672,927,1300,274,340,405,110,145,200,648,824,956,1.1,1.1,1.1,539,672,786,2.5,2.5,2.4
LGA16650,37,37,36,1300,1820,2167,395,458,554,220,255,370,996,1183,1443,1.2,1.2,1.2,849,1038,1273,2.6,2.6,2.7
LGA16700,36,37,36,1400,1915,2329,470,527,635,220,255,370,1241,1478,1841,1.1,1.1,1.2,1023,1180,1462,2.5,2.5,2.6
LGA16900,33,35,37,997,1517,1900,318,390,476,150,200,250,893,1120,1346,1.1,1.1,1.1,781,983,1125,2.8,2.8,2.7
LGA16950,41,44,46,780,1200,1517,282,348,423,125,170,220,662,849,984,1.1,1.1,1.1,556,689,822,2.5,2.4,2.3
LGA17000,33,34,35,975,1400,2000,394,494,661,130,180,260,1086,1425,1927,1.1,1.1,1.1,958,1263,1687,2.8,2.8,2.7
LGA17050,30,33,34,867,1300,1517,541,652,742,212,180,265,937,1212,1405,1.1,1.1,1.1,976,1167,1306,2.5,2.4,2.4
LGA17100,36,34,33,1526,2000,2195,394,457,556,230,280,400,1145,1273,1595,1.2,1.2,1.3,962,1107,1418,2.9,2.9,2.9
LGA17150,35,37,38,1335,1950,2400,509,596,713,230,260,370,1355,1643,2014,1.1,1.1,1.1,1152,1354,1670,2.8,2.7,2.7
LGA17200,33,33,33,1600,2148,2539,578,736,897,280,330,465,1399,1813,2273,1.2,1.2,1.3,997,1237,1630,1.9,1.9,1.9
LGA17310,36,38,39,758,1083,1430,329,407,513,120,150,200,789,1046,1181,1.1,1.1,1.1,664,817,958,2.6,2.5,2.5
LGA17350,38,42,44,607,867,1083,290,352,418,80,120,130,707,914,978,1.1,1.1,1.1,564,676,780,2.5,2.4,2.3
LGA17400,41,44,47,586,817,1083,266,307,379,80,110,155,601,727,865,1.1,1.1,1.1,493,575,692,2.4,2.4,2.3
LGA17420,35,36,37,1508,2070,2570,542,622,715,295,320,450,1574,1838,2188,1.1,1.1,1.1,1492,1706,2040,3.2,3.1,3.1
LGA17450,40,41,43,572,795,1083,319,393,480,85,110,150,763,996,1108,1.1,1.1,1.1,653,809,888,2.5,2.4,2.3
LGA17500,37,40,41,780,1083,1300,338,393,491,100,120,165,798,1040,1208,1.1,1.1,1.1,677,784,945,2.5,2.4,2.4
LGA17550,43,45,46,867,1300,1733,280,362,440,150,210,300,643,904,1045,1.1,1.1,1.1,536,711,842,2.4,2.4,2.4
LGA17620,38,39,39,780,1100,1600,340,440,563,93,120,170,807,1103,1392,1.1,1.1,1.1,678,879,1070,2.5,2.4,2.4
LGA17640,41,43,46,693,1083,1460,333,372,491,70,80,138,775,965,1192,1.1,1.1,1.1,637,732,952,2.6,2.5,2.4
LGA17650,38,40,42,654,867,1230,323,386,490,95,110,150,766,1010,1128,1.1,1.1,1.1,639,778,926,2.6,2.5,2.6
LGA17700,38,42,46,433,542,500,330,376,378,50,50,80,751,958,854,1.1,1.1,1.1,605,688,731,2.6,2.4,2.4
LGA17750,31,33,33,800,1127,1549,373,459,581,120,155,220,920,1151,1418,1.1,1.1,1.1,752,965,1147,2.6,2.6,2.5
LGA17800,39,43,48,646,867,960,326,378,424,85,80,120,723,963,985,1.1,1.1,1.1,626,754,797,2.7,2.5,2.4
LGA17850,39,41,44,693,867,867,342,379,469,60,80,100,753,925,1077,1.1,1.1,1.1,613,711,826,2.5,2.4,2.4
LGA17900,38,41,44,596,650,810,276,326,392,70,75,100,619,741,959,1.2,1.2,1.1,506,569,709,2.4,2.3,2.3
LGA17950,35,40,41,650,867,900,381,406,509,78,85,105,804,963,1128,1.1,1.1,1.1,687,707,901,2.5,2.4,2.4
LGA18000,37,37,38,1517,2123,2600,518,620,742,270,320,440,1364,1681,2080,1.1,1.1,1.1,1133,1371,1716,2.6,2.6,2.7
LGA18020,40,43,46,563,697,870,272,328,382,75,100,120,643,762,869,1.1,1.1,1.1,535,616,696,2.5,2.4,2.4
LGA18050,35,35,35,1647,2383,3000,601,757,964,310,350,500,1473,1925,2496,1.2,1.2,1.2,1112,1390,1902,2.2,2.2,2.3
LGA18100,41,44,47,542,769,867,281,328,382,60,80,105,666,780,874,1.1,1.1,1.1,523,601,722,2.5,2.3,2.3
LGA18150,39,40,41,609,910,1200,272,341,409,85,105,130,630,804,950,1.1,1.1,1.1,525,639,772,2.5,2.5,2.4
LGA18200,38,40,42,650,900,1200,322,383,479,91,100,148,755,966,1095,1.2,1.1,1.1,617,784,873,2.6,2.6,2.5
LGA18250,36,36,37,1840,2383,2817,602,717,847,335,360,490,1653,2065,2479,1.1,1.2,1.2,1366,1608,1991,2.5,2.5,2.6
LGA18350,38,42,44,1000,1517,1873,378,459,547,150,190,260,922,1165,1348,1.1,1.1,1.1,769,994,1094,2.6,2.5,2.5
LGA18400,33,34,36,1083,1733,2167,416,499,614,160,200,270,1083,1320,1661,1.1,1.1,1.1,983,1206,1476,3.0,3.0,3.0
LGA18450,36,37,38,1062,1517,1950,321,389,486,135,180,250,932,1164,1426,1.1,1.1,1.1,748,932,1097,2.6,2.5,2.5
LGA18500,37,38,38,2128,2763,3234,767,966,1135,350,387,550,1908,2654,2832,1.1,1.1,1.1,1515,1887,2387,2.2,2.2,2.3
LGA18550,37,39,40,953,1452,1733,306,380,467,160,200,260,763,1014,1171,1.1,1.1,1.1,623,774,932,2.5,2.5,2.5
LGA18710,38,39,39,975,1412,2000,425,553,754,110,150,240,1050,1388,1917,1.1,1.1,1.1,891,1184,1620,2.7,2.7,2.7
LGA18750,36,37,40,650,953,1257,319,371,444,100,140,180,739,923,995,1.1,1.1,1.1,603,703,811,2.6,2.5,2.5
LGA19399,34,43,55,725,1218,1040,647,523,549,50,50,56,745,882,1145,1.1,1.1,1.1,671,760,964,2.4,2.4,2.3
LGA20110,38,41,45,661,900,1300,330,397,476,105,145,175,734,963,1069,1.1,1.1,1.1,617,766,859,2.4,2.4,2.3
LGA20260,41,43,44,520,780,1018,321,393,479,85,115,150,754,953,1055,1.1,1.1,1.1,592,729,845,2.4,2.4,2.3
LGA20570,34,36,36,650,1040,1307,323,402,509,120,160,200,823,1079,1272,1.1,1.1,1.1,665,838,986,2.5,2.5,2.4
LGA20660,37,38,39,935,1350,1900,420,503,616,165,201,300,1113,1364,1731,1.1,1.1,1.1,931,1139,1392,2.6,2.6,2.6
LGA20740,43,45,45,607,1000,1300,282,358,492,105,150,235,640,852,1071,1.1,1.1,1.1,519,657,888,2.3,2.2,2.2
LGA20830,36,38,40,652,1040,1387,337,409,511,105,140,200,823,1102,1273,1.1,1.1,1.1,694,895,1022,2.7,2.6,2.5
LGA20910,40,41,42,1300,1907,2414,498,614,751,210,268,390,1482,1905,2426,1.1,1.1,1.1,1099,1395,1820,2.5,2.6,2.6
LGA21010,39,43,45,650,885,1200,329,395,465,100,140,170,763,1007,1074,1.1,1.1,1.1,623,771,832,2.5,2.4,2.3
LGA21110,37,37,38,1300,1842,2400,519,631,763,210,250,361,1593,2007,2505,1.1,1.1,1.1,1164,1460,1886,2.6,2.6,2.6
LGA21180,32,34,35,860,1192,1600,315,358,429,150,173,265,874,1032,1195,1.2,1.1,1.1,804,919,1104,3.1,3.0,2.9
LGA21270,43,45,47,420,542,737,303,338,409,55,70,100,698,783,959,1.1,1.1,1.1,555,601,743,2.4,2.4,2.3
LGA21370,37,40,42,715,1000,1300,344,397,470,100,135,170,811,1033,1099,1.1,1.1,1.1,682,791,885,2.6,2.5,2.4
LGA21450,33,34,34,823,1300,1733,395,477,593,145,180,280,966,1199,1479,1.1,1.1,1.1,862,1086,1301,2.9,2.9,2.8
LGA21610,31,32,33,867,1300,1733,420,479,570,155,190,295,995,1187,1450,1.1,1.1,1.1,924,1107,1339,3.1,3.0,3.0
LGA21670,42,45,48,500,693,867,268,306,381,95,120,153,620,732,864,1.1,1.1,1.1,492,575,684,2.3,2.3,2.2
LGA21750,38,40,42,568,910,1248,328,408,501,100,140,175,769,1033,1161,1.1,1.1,1.1,634,783,914,2.5,2.4,2.4
LGA21830,38,40,42,542,867,1050,339,427,485,75,100,135,779,1071,1149,1.1,1.1,1.1,640,830,913,2.6,2.5,2.5
LGA21890,35,36,36,953,1362,1900,323,397,531,150,185,291,865,1117,1438,1.2,1.1,1.1,709,903,1175,2.5,2.4,2.5
LGA22110,41,44,46,600,867,1296,286,359,437,100,135,180,659,868,990,1.1,1.1,1.1,538,685,800,2.4,2.3,2.3
LGA22170,34,36,37,780,1200,1647,382,459,566,145,180,265,924,1136,1396,1.1,1.1,1.1,770,954,1138,2.6,2.5,2.5
