region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
LGA50350,58,11,271,11668,1606,287,24,1917,552,14137
LGA50420,342,78,1343,41437,13177,2812,199,16188,2663,60288
LGA50490,130,54,655,24308,6976,1361,130,8467,2531,35306
LGA50560,0,3,34,1384,49,6,3,58,59,1501
LGA50630,6,0,21,1997,125,11,0,136,627,2760
LGA50770,3,0,36,1427,47,10,3,60,23,1510
LGA50840,4,0,64,4024,153,7,0,160,82,4266
LGA50910,0,14,37,819,12,0,0,12,58,889
LGA50980,9,9,78,17925,1521,153,28,1702,2028,21655
LGA51080,0,3,11,1031,35,3,0,38,37,1106
LGA51120,3,3,31,884,25,3,3,31,40,955
LGA51190,91,42,675,26572,2137,323,23,2483,2053,31108
LGA51260,20,80,566,27086,1053,140,24,1217,1257,29560
LGA51310,108,71,765,20929,2822,246,39,3107,805,24841
LGA51330,215,68,1265,53684,22972,3878,320,27170,3205,84059
LGA51400,4,6,51,12586,794,45,6,845,651,14082
LGA51470,0,3,6,495,21,3,0,24,42,561
LGA51540,15,5,69,7072,528,171,12,711,845,8628
LGA51610,0,0,0,1127,30,3,0,33,46,1206
LGA51680,3,4,24,3968,143,15,0,158,158,4284
LGA51750,16,59,383,7557,911,76,6,993,598,9148
LGA51820,215,42,920,67796,14474,2509,216,17199,3071,88066
LGA51890,22,4,145,8675,427,64,9,500,681,9856
LGA51960,0,0,7,3504,266,18,4,288,538,4330
LGA52030,0,0,5,998,13,16,0,29,45,1072
LGA52100,0,0,31,959,10,3,3,16,21,996
LGA52170,12,54,194,6360,465,20,0,485,668,7513
LGA52240,0,0,11,919,45,11,0,56,59,1034
LGA52310,0,0,6,801,22,3,0,25,10,836
LGA52380,0,0,0,344,15,3,0,18,64,426
LGA52450,0,4,30,1168,73,5,0,78,54,1300
LGA52520,0,0,14,1175,45,3,0,48,32,1255
LGA52590,3,4,37,2900,114,43,0,157,289,3346
LGA52660,19,6,202,11032,448,53,9,510,395,11937
LGA52730,4,5,98,4654,157,15,6,178,181,5013
LGA52800,17,7,40,5964,2061,405,27,2493,2526,10983
LGA52870,6,3,72,4673,207,46,9,262,154,5089
LGA52940,0,0,23,658,7,0,0,7,6,671
LGA53010,0,0,8,558,4,3,0,7,8,573
LGA53080,0,0,6,1387,91,3,0,94,213,1694
LGA53150,21,15,169,5897,571,63,9,643,316,6856
LGA53220,0,0,7,10918,2074,213,44,2331,3773,17022
LGA53290,8,10,185,12025,470,51,7,528,722,13275
LGA53360,0,0,17,4188,173,9,3,185,226,4599
LGA53430,217,71,637,21184,3398,695,58,4151,1629,26964
LGA53520,35,52,482,32119,1908,254,36,2198,1965,36282
LGA53570,3,6,54,3857,271,29,3,303,306,4466
LGA53640,0,0,12,1194,30,0,0,30,43,1267
LGA53710,0,0,17,908,24,0,0,24,43,975
LGA53780,148,140,1027,75337,19067,4037,334,23438,6192,104967
LGA53920,15,0,18,2444,1626,243,34,1903,202,4549
LGA53990,25,10,199,20069,1163,157,29,1349,1022,22440
LGA54060,3,3,47,3345,79,6,0,85,135,3565
LGA54130,3,0,6,931,24,0,0,24,29,984
LGA54170,189,135,2003,130203,13668,1285,195,15148,3915,149266
LGA54200,113,75,759,46035,3756,487,67,4310,2117,52462
LGA54280,17,15,161,25099,2682,217,34,2933,3676,31708
LGA54340,9,3,63,3199,467,293,15,775,145,4119
LGA54410,3,3,38,1042,43,0,0,43,52,1137
LGA54480,0,0,0,486,5,3,0,8,4,498
LGA54550,3,0,28,1750,68,0,3,71,41,1862
LGA54620,0,3,13,1028,35,6,0,41,121,1190
LGA54690,0,0,4,404,4,4,0,8,6,418
LGA54760,0,3,13,759,18,7,0,25,6,790
LGA54830,32,25,253,23266,2473,376,50,2899,2490,28655
LGA54900,0,3,14,1196,51,4,0,55,38,1289
LGA54970,0,0,0,1486,307,17,0,324,260,2070
LGA55040,3,0,8,2797,307,5,7,319,1209,4325
LGA55110,59,150,1520,59893,3111,349,58,3518,3473,66884
LGA55180,21,6,151,8238,427,58,0,485,315,9038
LGA55250,3,0,8,1455,147,6,6,159,419,2033
LGA55320,295,208,2523,73650,15256,1786,226,17268,2993,93911
LGA55390,0,0,0,295,137,31,0,168,33,496
LGA55460,0,5,35,2901,174,32,6,212,126,3239
LGA55530,0,0,3,461,7,0,0,7,22,490
LGA55600,0,5,45,2228,82,5,0,87,85,2400
LGA55670,0,0,11,864,30,3,0,33,58,955
LGA55740,23,12,215,6968,976,82,13,1071,388,8427
LGA55810,0,0,0,762,41,0,0,41,114,917
LGA55880,0,0,3,462,6,0,0,6,7,475
LGA55950,0,0,3,475,9,0,3,12,3,490
LGA56020,0,0,3,731,50,3,3,56,68,855
LGA56090,62,40,476,30969,1704,160,27,1891,2796,35656
LGA56160,0,0,0,98,16,3,0,19,12,129
