region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA22250,5,3,13,9,28,88,16,11,213,225,438,107,72,3,3,13,4,28,124,12,3,163,206,369,64,27,3,0,3,5,47,173,5,11,122,216,338,0,0,0,0,0,0,0,3,0,10,0,13,13,2213,2191,137,132,318,325,154,589,1203,955,4025,4192,8217
LGA22310,35,39,111,191,142,725,110,115,1404,1939,3343,950,644,35,17,77,118,248,1090,95,113,1405,1982,3387,738,381,14,14,45,96,470,2051,72,146,1339,2688,4027,198,250,5,5,18,33,7,47,230,267,458,602,1060,26303,26542,973,1312,2920,4579,1218,5367,19839,18096,51253,55896,107149
LGA22410,13,4,22,17,42,120,26,5,290,296,586,120,79,8,7,19,5,55,168,15,8,217,267,484,80,36,3,0,3,6,61,231,7,4,154,277,431,7,9,0,0,3,0,3,3,5,19,18,31,49,3897,3882,281,261,681,750,250,856,2532,2015,7641,7764,15405
LGA22490,3,3,12,18,15,65,7,3,139,162,301,64,34,3,0,4,8,24,65,3,0,98,107,205,26,19,0,0,0,0,25,83,0,0,51,102,153,4,9,0,0,0,3,0,0,7,13,11,25,36,4024,4095,192,156,493,518,129,406,2146,1767,6984,6942,13926
LGA22620,28,20,113,103,154,590,63,69,1298,1478,2776,641,469,15,21,64,79,218,795,39,53,977,1417,2394,422,214,16,7,15,60,276,1158,37,63,766,1502,2268,37,49,0,0,6,4,4,5,39,54,86,112,198,18373,18587,1195,1485,3028,4202,1057,3936,14200,13636,37853,41846,79699
LGA22670,45,32,166,165,177,871,79,57,1662,1952,3614,796,494,25,16,74,85,233,1041,55,45,1183,1681,2864,489,240,15,12,28,54,293,1231,25,46,850,1583,2433,202,303,5,8,13,18,12,64,143,129,375,522,897,28414,27821,1566,1880,3973,5251,1274,5688,20804,14843,56031,55483,111514
LGA22750,70,53,203,243,361,1398,118,94,2752,3469,6221,1635,1042,47,29,108,176,443,1816,82,99,2315,3162,5477,953,571,18,17,49,89,663,2616,64,136,1747,3429,5176,133,132,3,10,10,26,6,23,217,192,369,383,752,40547,40744,2432,3074,5976,8626,2335,8990,30013,26886,81303,88320,169623
LGA22830,17,10,57,67,93,381,44,20,717,858,1575,382,242,13,6,20,32,110,408,25,26,550,714,1264,237,159,3,6,14,30,143,632,11,22,408,849,1257,34,32,4,5,0,3,3,4,42,58,83,102,185,11604,11542,806,965,1687,2148,636,2255,8168,6935,22901,23845,46746
LGA22910,6,3,31,20,21,102,20,9,218,233,451,99,52,4,3,11,12,30,133,12,7,156,207,363,53,36,3,0,4,16,32,171,5,6,97,229,326,9,12,0,3,3,0,3,3,11,15,26,33,59,2696,2664,202,229,567,730,179,654,1967,1763,5611,6040,11651
LGA22980,0,0,11,3,16,60,9,7,129,121,250,61,34,0,0,4,4,25,81,4,10,94,129,223,38,34,0,0,0,0,35,148,7,13,80,195,275,3,0,0,0,0,3,0,0,3,3,6,6,12,1254,1251,62,74,185,179,108,390,684,459,2293,2353,4646
LGA23110,22,24,75,106,150,583,47,33,1014,1325,2339,493,300,19,11,43,64,159,634,47,27,761,1036,1797,309,157,14,9,16,16,230,795,20,37,589,1014,1603,91,89,0,4,11,18,6,34,86,91,194,236,430,16340,16312,984,1159,2484,3130,837,3273,12997,10796,33642,34670,68312
LGA23190,6,3,17,20,37,168,11,14,291,355,646,148,103,8,0,20,14,45,198,17,9,238,324,562,95,49,0,0,4,3,60,262,5,12,164,326,490,17,12,0,0,0,0,0,5,8,12,25,29,54,3884,3877,231,243,518,661,220,930,2564,2165,7417,7876,15293
LGA23270,53,30,61,97,168,724,41,28,1300,1514,2814,550,290,21,18,30,53,164,675,34,19,799,1055,1854,209,105,4,6,22,21,160,604,8,12,403,748,1151,198,218,13,5,12,23,4,54,103,95,330,395,725,33652,33667,1969,2746,3777,5276,1024,4397,23346,19986,63768,66072,129840
LGA23350,8,3,16,13,29,75,9,8,208,208,416,102,53,3,3,4,16,24,89,7,8,140,169,309,44,23,3,0,0,3,43,186,12,11,102,223,325,12,4,0,3,0,0,0,0,15,9,27,16,43,3224,3210,167,174,525,632,173,584,1812,1446,5901,6046,11947
LGA23430,43,37,153,248,197,899,91,84,1864,2357,4221,997,645,26,23,90,145,262,1225,58,74,1433,2112,3545,659,375,16,15,44,110,444,1677,54,92,1217,2269,3486,145,193,6,9,16,28,7,49,103,136,277,415,692,28993,29300,1476,1771,3837,6038,1391,5848,20145,17218,55842,60175,116017
LGA23670,22,37,103,157,165,725,41,43,1416,1755,3171,736,480,22,11,65,77,198,883,38,29,1059,1480,2539,433,253,13,11,33,61,334,1347,21,54,834,1726,2560,160,233,3,3,13,17,8,55,81,93,265,401,666,31303,31746,1393,1827,3598,5653,1211,4861,20818,18210,58323,62297,120620
LGA23810,18,15,86,80,122,477,40,16,918,1067,1985,452,287,9,10,43,37,162,556,34,8,700,898,1598,234,119,0,0,18,21,180,767,24,22,456,929,1385,36,30,3,0,3,3,3,5,30,52,75,90,165,12883,13203,911,1082,2390,2972,785,3077,10381,9345,27350,29679,57029
LGA23940,0,7,18,12,20,59,13,3,142,171,313,78,48,13,0,9,5,15,76,20,5,135,134,269,59,19,0,0,0,0,34,96,7,4,100,119,219,7,0,0,0,0,0,0,0,3,0,10,0,10,1608,1596,139,98,330,290,130,362,879,588,3086,2934,6020
LGA24130,13,7,28,40,43,184,26,9,384,443,827,178,106,8,0,16,23,53,202,13,19,268,350,618,102,49,3,0,9,11,80,333,19,16,213,409,622,31,25,3,0,0,0,0,6,20,32,54,63,117,8762,8900,448,502,1097,1542,339,1203,5011,4374,15657,16521,32178
LGA24210,35,26,70,122,168,752,32,31,1915,2032,3947,999,561,22,11,43,64,192,886,25,30,1281,1552,2833,517,264,12,5,19,38,291,1289,17,36,856,1632,2488,211,268,7,5,8,28,6,34,119,146,351,481,832,26214,27019,767,1016,1980,3207,1041,4572,13916,12396,43918,48210,92128
