region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
LGA53920,0,18,7,40,25,0,0,19,8,52,621,37,6,228,109,1001
LGA53990,10,5,0,51,452,9,14,114,3,592,7832,181,180,221,15,8429
LGA54060,0,3,0,12,52,4,4,17,3,80,1277,38,41,118,18,1492
LGA54130,0,0,0,7,25,3,0,3,0,31,391,18,3,19,0,431
LGA54170,50,0,0,287,1597,161,225,26,3,2012,49625,2763,1921,208,12,54529
LGA54200,19,3,0,252,907,65,20,14,0,1006,18496,805,237,138,5,19681
LGA54280,3,6,0,49,973,224,131,147,0,1475,8853,1160,788,524,40,11365
LGA54340,0,0,0,9,97,3,3,0,0,103,1449,40,76,15,0,1580
LGA54410,0,0,0,5,21,0,0,0,0,21,416,3,23,6,0,448
LGA54480,0,0,0,4,3,0,0,3,0,6,195,6,8,6,0,215
LGA54550,3,0,0,16,25,3,3,0,0,31,712,20,21,16,0,769
LGA54620,0,0,0,3,12,0,3,3,0,18,315,9,19,16,3,362
LGA54690,0,0,0,3,6,0,0,0,0,6,185,0,0,0,0,185
LGA54760,0,0,0,7,8,0,0,0,0,8,307,8,12,3,0,330
LGA54830,3,0,0,65,733,54,63,6,0,856,9652,509,469,10,9,10649
LGA54900,0,0,0,11,14,0,0,19,0,33,513,32,7,24,0,576
LGA54970,0,0,0,0,12,3,5,25,4,49,181,12,19,57,15,284
LGA55040,0,4,0,13,70,10,0,15,3,98,393,36,9,91,6,535
LGA55110,194,4,0,835,1245,302,191,64,0,1802,22462,3283,1676,381,13,27815
LGA55180,0,3,3,47,157,4,19,32,0,212,3387,29,191,85,15,3707
LGA55250,0,5,3,15,50,8,0,6,3,67,291,23,20,47,36,417
