region_id,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot
LGA52660,3,3,0,0,0,5,0,0,0,3,17,47,13,47,42,56,175,369,203,12,0,3,22,989
LGA52730,5,0,0,6,0,3,0,0,0,0,14,66,33,76,84,75,125,102,24,0,0,8,21,614
LGA52800,0,3,3,3,0,3,0,0,8,12,70,668,98,186,83,52,36,24,29,26,14,36,156,1408
LGA52870,0,3,0,3,3,0,0,0,0,3,15,48,14,50,48,37,52,54,15,0,0,6,15,339
LGA52940,5,0,0,0,0,0,0,0,0,0,5,30,10,20,9,0,0,0,0,0,0,3,4,76
LGA53010,0,0,0,0,0,0,0,0,0,0,0,25,15,10,3,0,4,0,0,0,0,0,6,63
LGA53080,0,0,0,0,0,0,0,0,0,0,3,59,9,37,26,3,4,0,0,0,0,0,16,154
LGA53150,0,0,0,3,0,3,3,0,0,0,12,35,28,19,29,25,57,97,162,82,29,68,18,649
LGA53220,0,3,0,0,0,0,0,0,0,21,52,632,88,307,41,35,18,20,9,12,9,47,196,1414
LGA53290,9,8,7,4,3,0,0,0,0,12,62,246,92,241,235,175,199,219,112,27,0,18,88,1652
LGA53360,3,0,0,0,3,3,0,0,0,6,21,77,33,55,36,29,34,51,84,42,17,75,56,589
LGA53430,7,0,4,4,7,9,4,4,9,34,105,339,386,284,213,155,294,613,756,456,185,212,199,4092
LGA53520,21,13,7,10,14,6,3,3,0,39,142,317,224,426,592,400,630,722,651,124,22,29,196,4333
LGA53570,3,3,0,0,0,0,0,0,0,3,12,81,5,35,48,32,40,54,31,4,4,0,21,355
LGA53640,0,0,0,0,0,0,0,0,0,3,6,66,4,37,18,3,0,0,0,0,0,3,12,143
LGA53710,0,3,0,0,0,0,0,0,0,0,6,36,9,25,23,3,3,3,0,0,0,0,6,108
LGA53780,21,10,12,20,48,18,4,0,0,48,212,378,258,511,469,399,717,2429,2134,521,59,67,307,8249
LGA53920,3,0,0,0,0,0,0,0,3,3,16,435,47,77,12,13,7,15,6,4,3,8,47,674
LGA53990,10,5,3,9,4,7,0,0,4,6,54,129,69,160,231,165,299,479,332,27,7,9,61,1968
LGA54060,3,3,3,0,0,0,0,0,0,6,15,38,22,71,64,34,81,65,13,0,0,16,30,434
LGA54130,0,0,0,0,0,0,0,0,0,0,5,44,12,30,24,12,8,0,0,0,3,0,11,144
LGA54170,14,8,7,10,13,38,16,4,13,34,176,395,144,265,277,224,427,1803,3786,1194,458,471,231,9675
LGA54200,3,3,0,8,6,3,0,0,5,12,49,222,82,189,157,137,227,708,947,235,45,39,107,3095
LGA54280,11,15,3,9,9,11,0,4,0,25,109,305,167,417,452,242,449,762,651,221,89,39,160,3954
LGA54340,3,0,3,0,0,0,0,0,0,3,15,70,39,150,147,39,42,15,3,0,0,0,24,529
LGA54410,0,0,0,0,0,0,0,0,0,0,4,43,13,38,17,4,6,0,0,0,0,0,0,121
LGA54480,0,0,0,0,0,0,0,0,0,0,0,29,12,11,3,0,0,3,0,0,0,0,3,61
LGA54550,3,0,0,0,0,0,0,0,0,3,9,63,18,59,38,17,11,3,0,0,0,0,21,230
LGA54620,4,0,0,0,0,0,0,0,0,3,7,33,10,41,16,6,3,0,3,0,0,0,15,127
LGA54690,0,0,0,0,0,0,0,0,0,0,0,18,12,15,9,3,0,0,0,0,0,0,0,57
LGA54760,3,0,0,0,0,0,0,0,0,0,3,35,9,15,12,0,3,0,0,0,0,0,9,83
LGA54830,8,6,5,10,18,4,3,3,3,15,86,127,136,232,203,229,589,712,448,34,15,18,93,2836
