region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
LGA48830,8,6,0,0,14,295,383,178,54,910
LGA49399,4,13,6,4,27,133,98,58,30,319
LGA50080,17,11,15,6,49,1265,1460,618,273,3616
LGA50210,39,31,15,3,88,2773,2898,1213,586,7470
LGA50250,3,0,6,0,9,233,354,168,56,811
LGA50280,3,8,6,0,17,490,561,234,38,1323
LGA50350,0,5,6,0,11,577,669,239,65,1550
LGA50420,33,35,10,7,85,2684,2781,870,264,6599
LGA50490,19,19,3,9,50,1463,1250,470,175,3358
LGA50560,0,3,0,0,3,56,54,23,13,146
LGA50630,3,0,0,0,3,73,80,39,14,206
LGA50770,3,3,0,0,6,54,76,32,12,174
LGA50840,5,3,0,0,8,140,183,79,38,440
LGA50910,3,0,3,3,9,41,38,9,12,100
LGA50980,10,12,6,5,33,506,582,243,134,1465
LGA51080,0,4,0,0,4,46,53,27,15,141
LGA51120,0,0,0,0,0,29,38,18,12,97
LGA51190,13,22,6,0,41,1199,1213,434,150,2996
LGA51260,10,22,3,0,35,1099,1562,594,204,3459
LGA51310,4,12,0,0,16,955,1628,723,158,3464
LGA51330,44,47,22,14,127,3767,4607,1717,543,10634
LGA51400,9,15,6,0,30,601,948,383,128,2060
LGA51470,0,0,0,4,4,14,31,9,4,58
LGA51540,3,9,3,0,15,188,221,90,51,550
LGA51610,0,0,0,0,0,57,77,22,5,161
LGA51680,3,3,3,0,9,191,243,114,37,585
LGA51750,3,3,3,0,9,297,443,191,28,959
LGA51820,60,61,13,10,144,4283,5307,1867,531,11988
LGA51890,6,10,0,0,16,381,394,165,65,1005
LGA51960,3,3,0,3,9,149,163,85,39,436
LGA52030,0,4,0,0,4,32,47,17,0,96
LGA52100,0,0,0,0,0,31,38,24,4,97
LGA52170,3,0,0,0,3,277,367,174,49,867
LGA52240,3,0,3,0,6,40,39,26,11,116
LGA52310,0,0,3,0,3,32,41,21,7,101
LGA52380,0,0,0,4,4,3,0,0,8,11
LGA52450,0,0,0,0,0,47,55,26,6,134
LGA52520,0,3,0,0,3,60,43,41,16,160
LGA52590,0,8,0,0,8,103,113,56,21,293
LGA52660,5,8,3,3,19,527,690,265,110,1592
LGA52730,3,3,0,0,6,176,207,71,33,487
LGA52800,3,10,3,3,19,158,193,116,79,546
LGA52870,0,6,0,0,6,192,260,96,43,591
LGA52940,3,3,0,0,6,30,19,23,3,75
LGA53010,0,0,0,0,0,28,15,19,9,71
LGA53080,0,5,0,0,5,26,30,10,5,71
LGA53150,3,3,3,0,9,281,412,165,24,882
LGA53220,10,8,7,6,31,229,307,158,80,774
LGA53290,14,9,5,4,32,490,643,281,104,1518
LGA53360,3,0,0,3,6,93,108,31,10,242
LGA53430,8,10,5,3,26,1021,1025,337,86,2469
LGA53520,16,27,13,11,67,1439,1630,722,310,4101
LGA53570,0,3,0,0,3,153,197,74,41,465
LGA53640,0,0,0,0,0,43,56,31,20,150
LGA53710,0,0,0,0,0,37,39,21,11,108
LGA53780,66,74,26,17,183,4911,5545,2188,962,13606
LGA53920,0,0,4,0,4,80,69,48,73,270
LGA53990,10,12,7,4,33,1016,1276,544,175,3011
LGA54060,7,3,3,0,13,130,159,84,19,392
LGA54130,0,0,0,0,0,49,54,25,6,134
LGA54170,66,75,34,15,190,7418,10319,3602,875,22214
LGA54200,27,34,6,8,75,2364,2919,1134,395,6812
LGA54280,26,18,12,6,62,1232,1414,687,243,3576
LGA54340,3,3,0,3,9,154,165,105,45,469
LGA54410,0,0,0,3,3,37,52,24,15,128
LGA54480,0,0,0,0,0,13,33,20,3,69
LGA54550,0,0,0,3,3,79,92,35,15,221
LGA54620,0,0,0,0,0,29,42,15,11,97
LGA54690,0,0,0,0,0,17,22,9,3,51
LGA54760,0,0,0,0,0,40,38,18,10,106
LGA54830,20,12,11,6,49,1268,1291,570,264,3393
LGA54900,0,0,0,0,0,52,58,33,12,155
LGA54970,0,0,0,0,0,18,17,9,12,56
LGA55040,3,3,0,0,6,37,68,23,15,143
LGA55110,37,40,13,4,94,2528,2972,1109,395,7004
LGA55180,0,0,0,0,0,333,383,196,79,991
LGA55250,3,3,3,0,9,33,18,12,8,71
LGA55320,33,30,15,4,82,4217,5637,2031,481,12366
LGA55390,0,0,0,0,0,15,7,0,3,25
LGA55460,0,5,0,0,5,122,126,73,25,346
LGA55530,0,0,0,0,0,18,25,8,3,54
LGA55600,3,0,0,0,3,108,101,50,31,290
LGA55670,3,0,0,0,3,24,40,19,12,95
LGA55740,0,3,3,0,6,283,423,174,41,921
LGA55810,0,0,0,0,0,30,8,4,8,50
LGA55880,0,0,0,0,0,19,26,10,6,61
LGA55950,3,0,0,0,3,25,19,12,0,56
LGA56020,0,0,0,0,0,19,25,10,12,66
LGA56090,21,27,11,5,64,1568,1932,823,272,4595
LGA56160,0,0,0,0,0,3,6,0,0,9
LGA56230,9,10,0,3,22,499,657,269,104,1529
LGA56300,0,0,0,3,3,39,37,26,9,111
LGA56370,0,3,0,0,3,37,28,16,9,90
LGA56450,0,0,3,0,3,37,50,17,9,113
LGA56520,7,3,0,0,10,129,160,92,35,416
LGA56580,4,14,4,3,25,821,1357,614,158,2950
