region_id,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_c_o_c_c_g,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_over_REA,C11_650over_ST_HA,C11_650ove_Pe_no_sa_ho,C11_650ov_H_co_op_c_ch_gr,C11_650over_Oth_lan_typ,C11_650over_LLT_NS,C11_650_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T
LGA14550,15,0,149,64,11,79,0,9,3,166,30,0,40,0,8,0,78,109,3,34,0,0,3,149,43,0,14,0,0,0,57,6,0,7,0,0,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,5,3,0,33,286,45,319,52,52,48,802
LGA14600,26,3,267,55,6,42,4,8,4,119,4,0,8,5,3,0,20,4,0,6,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,4,5,18,0,10,0,37,123,114,233,64,131,71,736
LGA14650,109,11,1487,603,527,433,78,125,12,1778,426,218,416,20,31,10,1121,1486,374,658,11,79,11,2619,2879,115,863,11,69,22,3959,1741,15,345,3,23,3,2130,491,6,98,0,9,3,607,89,4,20,0,3,0,116,80,19,30,0,7,4,140,142,197,135,47,47,32,600,8130,3459,3578,423,564,298,16452
LGA14700,9,3,87,11,20,24,4,4,0,63,10,3,16,3,3,4,39,32,14,35,0,5,0,86,241,9,88,0,14,0,352,987,0,180,0,8,0,1175,508,6,103,0,5,0,622,273,0,59,3,4,3,342,453,3,101,0,5,0,562,51,6,24,5,7,8,101,2575,205,698,76,74,57,3685
LGA14750,16,3,198,198,31,80,0,21,0,330,116,4,43,0,3,0,166,65,0,13,0,0,0,78,28,4,3,0,0,3,38,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,5,6,15,0,15,3,44,503,128,275,20,91,53,1070
LGA14800,4,3,242,86,84,53,26,10,3,262,97,29,47,8,13,0,194,269,28,83,5,12,0,397,551,25,167,5,20,3,771,947,17,221,3,3,0,1191,1159,6,239,3,9,3,1419,1181,5,215,0,10,3,1414,1573,9,347,3,7,11,1950,84,66,70,6,10,8,244,5981,913,1559,138,115,85,8791
LGA14850,46,5,487,355,75,251,33,47,6,767,262,26,214,6,28,3,539,478,34,235,12,26,4,789,686,16,316,4,28,3,1053,249,3,95,3,6,3,359,19,0,21,0,0,3,43,3,3,3,0,0,0,9,8,4,7,0,4,0,23,31,29,55,9,17,9,150,2210,536,1514,135,227,132,4754
LGA14870,8,0,335,305,100,135,0,20,9,569,168,29,75,0,7,3,282,168,8,36,5,3,3,223,63,3,20,0,3,0,89,34,0,7,0,0,0,41,4,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,8,0,3,0,20,14,17,26,0,9,0,66,889,416,460,21,73,65,1924
LGA14900,48,9,1156,114,601,118,58,139,3,1033,255,216,154,24,258,6,913,1107,208,274,35,163,15,1802,2228,317,471,41,120,12,3189,2997,97,553,4,101,23,3775,1207,9,158,3,34,11,1422,205,4,20,3,9,0,241,102,12,25,0,4,8,151,130,307,122,26,61,50,696,8412,4238,2150,351,979,298,16428
LGA14920,15,3,185,94,13,93,0,15,3,218,28,4,32,0,4,0,68,48,0,18,0,5,0,71,33,0,11,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,9,0,18,0,26,3,56,271,60,306,40,128,64,869
