region_id,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
LGA52030,286,137,4,55,482
LGA52100,289,147,5,17,458
LGA52170,1844,767,167,302,3080
LGA52240,295,112,5,25,437
LGA52310,256,80,4,16,356
LGA52380,58,44,3,77,182
LGA52450,338,127,15,29,509
LGA52520,329,130,10,38,507
LGA52590,815,303,18,249,1385
LGA52660,3404,771,116,173,4464
LGA52730,1423,565,48,146,2182
LGA52800,1220,395,48,1060,2723
LGA52870,1510,432,28,85,2055
LGA52940,198,80,5,8,291
LGA53010,175,79,3,9,266
LGA53080,222,121,9,161,513
LGA53150,1795,697,119,142,2753
LGA53220,1285,343,65,597,2290
LGA53290,3442,1187,98,460,5187
LGA53360,597,227,46,1066,1936
LGA53430,6672,3644,712,860,11888
LGA53520,9406,3255,392,830,13883
LGA53570,1278,389,35,179,1881
LGA53640,325,141,8,40,514
LGA53710,273,109,7,28,417
LGA53780,27623,7216,1263,1712,37814
LGA53920,539,166,24,272,1001
LGA53990,6311,1441,177,499,8428
LGA54060,974,321,29,164,1488
LGA54130,271,110,10,39,430
LGA54170,42717,8849,1435,1530,54531
LGA54200,14805,3579,490,807,19681
LGA54280,7207,2197,469,1493,11366
LGA54340,1052,416,45,67,1580
LGA54410,306,121,9,11,447
LGA54480,155,49,0,10,214
LGA54550,545,188,14,19,766
LGA54620,239,96,3,26,364
LGA54690,116,51,6,11,184
LGA54760,228,86,6,11,331
LGA54830,7433,2213,340,661,10647
LGA54900,365,170,8,32,575
LGA54970,126,73,7,75,281
LGA55040,273,105,8,147,533
LGA55110,19095,6601,762,1357,27815
LGA55180,2481,935,65,227,3708
LGA55250,188,103,13,112,416
LGA55320,25725,8456,1399,1262,36842
LGA55390,49,27,0,34,110
LGA55460,827,361,28,94,1310
LGA55530,126,54,0,19,199
LGA55600,649,219,27,35,930
LGA55670,198,92,6,31,327
LGA55740,2050,1138,172,221,3581
LGA55810,122,66,8,45,241
LGA55880,138,50,4,16,208
LGA55950,154,54,0,14,222
LGA56020,159,62,11,51,283
LGA56090,9873,2297,218,554,12942
LGA56160,27,8,0,14,49
LGA56230,3883,1193,99,311,5486
LGA56300,355,144,16,51,566
LGA56370,237,86,3,11,337
LGA56450,231,45,9,12,297
LGA56520,1037,456,48,64,1605
LGA56580,5306,1426,287,253,7272
LGA56620,247,90,9,61,407
LGA56730,2690,985,102,295,4072
LGA56790,898,354,19,454,1725
LGA56860,56,29,3,8,96
LGA56930,375,99,17,44,535
LGA57000,148,41,8,14,211
LGA57080,3374,3037,748,1983,9142
LGA57140,325,115,10,15,465
LGA57210,1341,431,29,98,1899
LGA57280,2769,739,202,1451,5161
LGA57350,287,121,13,11,432
LGA57420,503,201,10,106,820
LGA57490,27731,7427,1000,1714,37872
LGA57560,4111,922,253,2120,7406
LGA57630,28,14,0,39,81
LGA57700,4816,719,108,200,5843
LGA57770,215,118,14,484,831
LGA57840,9980,5160,1118,1213,17471
LGA57910,49864,23280,4174,4465,81783
LGA57980,4073,2757,628,646,8104
LGA58050,28519,7018,1004,1799,38340
LGA58190,102,44,4,6,156
LGA58260,165,76,4,21,266
LGA58330,1245,369,28,130,1772
LGA58400,97,44,3,9,153
LGA58470,51,24,0,24,99
LGA58510,7510,4425,1148,1016,14099
LGA58540,223,110,13,31,377
LGA58570,7304,4133,1374,1161,13972
LGA58610,495,222,13,21,751
LGA58680,140,24,0,13,177
LGA58760,40448,8230,1198,2104,51980
LGA58820,980,339,20,46,1385
LGA58890,259,92,0,16,367
LGA59030,66,29,3,10,108
LGA59100,207,78,3,11,299
LGA59170,270,89,5,15,379
LGA59250,81,24,6,65,176
LGA59310,375,171,15,34,595
LGA59320,118,36,3,3,160
LGA59330,127,87,5,25,244
LGA59340,1578,555,134,1439,3706
LGA59350,41,15,0,23,79
LGA59360,329,142,7,73,551
LGA59370,953,348,27,68,1396
LGA59399,0,0,0,3,3
LGA60210,1680,848,58,140,2726
LGA60410,4169,1056,118,276,5619
LGA60610,5204,2215,200,245,7864
LGA60810,5913,2220,154,258,8545
LGA61010,621,268,17,67,973
LGA61210,2153,769,47,119,3088
LGA61410,14265,5147,429,597,20438
LGA61510,2684,923,66,98,3771
LGA61610,6664,2828,270,321,10083
LGA61810,1856,794,44,105,2799
LGA62010,217,119,9,33,378
LGA62210,1860,685,59,87,2691
LGA62410,1142,530,46,112,1830
LGA62610,11674,6032,591,538,18835
LGA62810,11658,6356,1599,1010,20623
LGA63010,4236,1429,145,174,5984
LGA63210,1708,486,54,67,2315
LGA63410,418,238,21,34,711
LGA63610,9509,2858,269,364,13000
LGA63810,2764,953,63,114,3894
LGA64010,16363,7855,1216,970,26404
LGA64210,5254,1937,136,178,7505
LGA64610,3450,1211,87,166,4914
LGA64810,3669,1355,110,196,5330
LGA65010,1662,554,36,100,2352
LGA65210,645,289,20,58,1012
LGA65410,3794,1475,105,148,5522
LGA65610,1204,672,52,221,2149
LGA65810,6141,1940,181,262,8524
LGA69399,0,0,0,0,0
LGA70200,5716,2142,544,1347,9749
LGA70420,1115,350,65,463,1993
LGA70540,26,5,0,3,34
LGA70620,554,99,12,120,785
LGA70700,239,143,18,217,617
LGA71000,16697,5632,1917,3563,27809
LGA71300,1045,136,22,60,1263
LGA72200,2035,647,108,740,3530
LGA72300,4346,1045,185,1546,7122
LGA72330,773,211,20,370,1374
LGA72800,6822,1546,448,796,9612
LGA73600,843,197,36,723,1799
LGA74050,470,81,10,14,575
LGA74500,904,232,36,336,1508
LGA74560,105,56,6,11,178
LGA74660,817,193,17,510,1537
LGA79399,1538,602,86,880,3106
LGA89399,91979,30248,7198,5609,135034
LGA99399,536,135,24,120,815
