region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
LGA12300,30,9,23,32,9,22,31,0,0,0,0,0,0,0,3,3,11,31,42,12,23,35,15,31,46,219,211,430,338,382,720,318,326,644,7,9,16,10,12,22,8,10,18,1348,1361,2709,1401,1482,2883,1367,1484,2851
LGA12350,40,6,14,20,7,31,38,0,0,0,3,0,3,0,0,0,24,30,54,20,28,48,15,31,46,220,216,436,407,387,794,545,514,1059,13,25,38,30,22,52,14,28,42,1691,1665,3356,1764,1760,3524,1777,1863,3640
LGA12500,28,3,15,18,8,13,21,0,0,0,0,0,0,0,0,0,9,22,31,6,18,24,8,16,24,189,175,364,284,280,564,292,293,585,0,3,3,3,5,8,8,9,17,1070,1091,2161,1073,1113,2186,957,1065,2022
LGA12600,161,41,74,115,40,99,139,0,0,0,0,6,6,8,3,11,72,124,196,57,96,153,65,130,195,779,833,1612,1720,1740,3460,1403,1324,2727,38,56,94,39,44,83,46,52,98,5529,5899,11428,6175,6426,12601,5931,6210,12141
LGA12700,41,3,22,25,9,24,33,0,0,0,0,0,0,0,0,0,10,39,49,13,32,45,9,30,39,152,163,315,282,313,595,242,248,490,12,14,26,10,11,21,3,11,14,1151,1135,2286,1176,1259,2435,1113,1190,2303
LGA12750,111,28,96,124,43,118,161,3,0,3,0,5,5,3,3,6,63,87,150,36,113,149,60,145,205,681,741,1422,1158,1172,2330,1290,1254,2544,51,79,130,52,66,118,63,77,140,4124,4365,8489,4271,4690,8961,4443,4750,9193
LGA12850,1144,295,558,853,284,595,879,25,27,52,44,62,106,24,37,61,755,930,1685,538,954,1492,654,1130,1784,5227,5080,10307,8177,7852,16029,7034,7005,14039,288,348,636,258,312,570,294,361,655,29102,28644,57746,29933,30228,60161,30262,31059,61321
LGA12900,31,7,29,36,8,16,24,0,3,3,0,3,3,0,0,0,15,27,42,11,35,46,11,19,30,175,167,342,341,356,697,269,291,560,6,10,16,8,8,16,12,5,17,1419,1393,2812,1441,1464,2905,1260,1294,2554
LGA12950,11,3,5,8,3,7,10,0,0,0,0,0,0,0,0,0,5,6,11,3,9,12,6,7,13,102,112,214,154,189,343,162,184,346,3,0,3,0,0,0,4,0,4,627,737,1364,623,730,1353,568,665,1233
LGA13010,19,7,11,18,9,22,31,0,0,0,0,0,0,4,0,4,0,26,26,10,15,25,13,22,35,282,183,465,402,313,715,397,271,668,11,14,25,3,8,11,10,15,25,1271,1249,2520,1311,1291,2602,1236,1208,2444
LGA13050,14,4,11,15,3,15,18,0,0,0,0,4,4,0,0,0,6,11,17,4,15,19,3,15,18,75,61,136,152,159,311,133,113,246,0,3,3,9,12,21,7,4,11,591,561,1152,602,648,1250,555,563,1118
LGA13100,887,220,493,713,243,558,801,8,10,18,16,16,32,8,6,14,383,694,1077,300,627,927,345,690,1035,3104,3339,6443,6613,7215,13828,5205,5566,10771,240,369,609,268,415,683,232,317,549,21867,22592,44459,24239,25461,49700,23352,25097,48449
LGA13310,122,31,78,109,53,65,118,5,3,8,0,0,0,0,0,0,110,113,223,132,137,269,84,88,172,1429,932,2361,1489,1008,2497,1409,882,2291,21,35,56,58,42,100,41,49,90,4788,4260,9048,5104,4101,9205,4464,3917,8381
LGA13320,115,21,55,76,22,68,90,0,0,0,0,3,3,3,3,6,62,96,158,27,83,110,28,85,113,560,575,1135,1230,1305,2535,1313,1425,2738,52,66,118,48,56,104,45,55,100,3629,3756,7385,4230,4367,8597,4151,4497,8648
LGA13340,33,9,22,31,4,29,33,0,0,0,0,3,3,5,0,5,10,31,41,9,25,34,13,32,45,135,122,257,307,292,599,322,295,617,14,5,19,8,17,25,7,13,20,1419,1408,2827,1463,1488,2951,1471,1521,2992
LGA13380,160,47,109,156,44,95,139,0,3,3,0,3,3,7,0,7,82,146,228,59,138,197,69,129,198,771,754,1525,1400,1443,2843,1496,1578,3074,41,64,105,26,57,83,41,50,91,5921,6121,12042,6178,6573,12751,6114,6530,12644
LGA13450,76,16,49,65,29,57,86,3,0,3,0,0,0,3,0,3,40,50,90,28,62,90,50,82,132,567,527,1094,1026,956,1982,1122,952,2074,45,43,88,76,81,157,115,61,176,3418,3269,6687,3669,3580,7249,3908,3783,7691
LGA13500,14,3,10,13,3,4,7,0,0,0,0,0,0,0,0,0,6,11,17,6,13,19,3,7,10,44,34,78,139,110,249,110,99,209,7,3,10,3,3,6,4,3,7,464,465,929,523,523,1046,526,507,1033
LGA13550,41,9,22,31,16,29,45,0,0,0,0,3,3,0,0,0,15,37,52,14,31,45,19,32,51,216,214,430,412,392,804,508,467,975,5,12,17,5,9,14,19,12,31,1746,1825,3571,1677,1735,3412,1749,1793,3542
LGA13650,15,0,10,10,3,6,9,0,0,0,0,0,0,0,3,3,7,11,18,0,10,10,3,9,12,94,79,173,140,147,287,141,140,281,0,5,5,19,5,24,11,5,16,601,570,1171,627,583,1210,607,592,1199
LGA13660,21,3,20,23,4,9,13,0,0,0,0,0,0,0,0,0,8,16,24,3,23,26,4,12,16,119,119,238,186,165,351,119,101,220,22,39,61,8,12,20,9,5,14,693,733,1426,725,744,1469,581,567,1148
LGA13700,17,3,4,7,3,0,3,0,0,0,0,0,0,0,0,0,3,17,20,3,4,7,3,0,3,76,76,152,89,84,173,92,102,194,3,0,3,4,0,4,0,6,6,494,524,1018,443,493,936,421,447,868
