region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC10300101,25,38,34,436,722,619,952,1168,1103,867,867,867,130,75,110,1.3,1.1,1.2,3.3,2.1,2.5,10.2,1.2,4.7
ILOC10300102,29,40,39,390,588,555,739,1008,949,1380,1187,1234,35,0,6,1.2,1.1,1.1,3.1,2.6,2.7,7.1,1.3,2.2
ILOC10300201,25,41,30,301,607,368,753,980,861,542,477,477,105,40,100,1.4,1.0,1.2,3.4,1.8,2.8,18.1,7.9,14.2
ILOC10300202,25,46,39,288,557,389,623,1218,782,0,2000,2000,0,20,0,1.2,1.1,1.1,3.1,2.4,2.7,9.3,2.4,5.2
ILOC10300203,25,46,33,308,733,328,791,2625,880,0,0,0,55,0,29,1.5,1.0,1.4,3.0,1.3,2.7,16.0,0,12.3
ILOC10300301,22,37,35,469,613,595,1226,1287,1277,1192,1300,1300,150,144,145,1.1,1.1,1.1,2.9,2.3,2.4,4.3,1.6,2.0
ILOC10300302,26,0,26,233,0,233,519,0,519,0,0,0,75,0,75,1.2,0,1.2,3.8,0,3.8,12.5,0,12.5
ILOC10300401,23,47,39,358,470,422,808,756,775,885,820,867,130,120,130,1.2,1.1,1.1,3.1,2.0,2.4,7.7,2.4,4.2
ILOC10300402,30,46,44,354,574,552,508,963,923,2167,542,542,0,0,0,1.1,1.1,1.1,2.8,2.5,2.5,11.8,0,0.9
ILOC10300403,20,57,42,309,348,335,590,607,595,658,1083,715,130,450,140,1.2,1.1,1.2,2.9,2.1,2.5,11.1,0,4.9
ILOC10300501,20,45,43,356,421,414,745,790,786,867,975,958,154,150,150,1.2,1.1,1.1,3.1,2.2,2.2,10.8,1.7,2.3
ILOC10300502,29,43,42,500,501,501,812,880,870,585,200,270,100,3,8,1.1,1.1,1.1,2.4,2.3,2.3,0,2.0,1.8
ILOC10300503,28,52,44,324,435,378,754,593,669,867,954,867,100,40,85,1.2,1.1,1.1,2.8,1.7,2.1,12.9,2.5,6.4
ILOC10300504,23,46,29,287,839,348,806,963,866,250,0,250,100,10,90,1.4,1.0,1.3,3.9,1.5,3.0,23.7,4.2,16.3
ILOC10300601,26,50,38,369,446,401,558,1014,685,433,867,607,125,12,100,1.3,1.0,1.1,3.4,1.7,2.4,8.1,3.5,5.4
ILOC10300602,14,0,14,117,0,117,150,0,150,0,0,0,95,0,95,1.6,0,1.6,3.9,0,3.9,25.0,0,25.0
ILOC10300603,23,48,42,371,371,371,759,602,644,780,1000,1000,140,75,130,1.2,1.1,1.1,2.7,1.9,2.1,7.1,3.5,4.5
ILOC10300604,24,0,24,136,0,136,362,0,362,0,0,0,98,0,98,1.3,0,1.3,4.1,0,4.1,24.0,0,24.0
ILOC10300605,23,37,31,367,774,554,1053,1334,1246,810,910,910,130,75,115,1.2,1.1,1.1,3.7,2.1,2.8,15.7,1.8,8.1
ILOC10300606,38,48,47,348,378,376,683,618,625,1192,600,780,110,0,0,1.2,1.1,1.2,2.6,2.1,2.1,7.5,2.6,3.0
ILOC10400101,24,44,41,296,444,408,700,935,908,1753,1517,1599,110,270,230,1.2,1.1,1.1,3.6,2.6,2.7,13.8,2.5,3.7
ILOC10400102,21,50,49,367,462,459,719,797,793,1933,1560,1600,227,280,275,1.2,1.1,1.1,2.9,2.1,2.1,12.7,1.9,2.3
ILOC10400103,21,44,43,424,535,533,1168,1083,1085,1597,1733,1733,310,320,320,1.1,1.1,1.1,3.1,2.5,2.6,5.3,1.4,1.5
ILOC10400201,22,43,42,359,479,477,854,886,885,1950,1647,1668,290,350,345,1.2,1.1,1.1,3.0,2.4,2.4,8.4,3.2,3.3
ILOC10400301,20,38,38,387,442,439,976,914,917,1517,1500,1500,225,220,220,1.2,1.1,1.1,3.1,2.4,2.5,10.3,3.0,3.4
ILOC10400302,22,38,38,420,546,542,1368,1345,1346,1733,1733,1733,240,270,265,1.2,1.1,1.1,3.5,2.7,2.7,13.4,2.6,3.1
ILOC10400303,17,38,37,378,442,438,988,905,911,1283,1378,1365,200,220,220,1.3,1.1,1.1,3.5,2.5,2.5,13.2,3.7,4.3
ILOC10400401,25,49,44,258,335,313,516,538,533,433,927,758,90,110,110,1.5,1.2,1.3,3.2,2.1,2.3,8.6,2.3,3.6
ILOC10400402,17,45,44,334,372,370,637,759,751,1300,1083,1083,185,160,160,1.3,1.2,1.2,3.5,2.5,2.5,16.5,5.3,6.0
ILOC10400403,21,43,42,357,429,424,853,816,819,1313,1300,1300,205,205,205,1.2,1.1,1.1,3.3,2.4,2.4,10.0,2.3,2.8
ILOC10400404,18,55,53,298,402,395,700,724,723,2383,1517,1517,200,260,250,1.2,1.0,1.1,3.1,2.1,2.1,13.1,1.2,1.7
ILOC10400405,21,50,49,309,388,385,727,740,739,900,1300,1300,165,210,205,1.2,1.1,1.1,3.1,2.3,2.3,9.1,2.3,2.6
ILOC10400501,20,47,46,337,419,415,765,788,787,1382,1300,1300,205,225,220,1.2,1.1,1.1,3.0,2.3,2.4,7.8,2.5,2.7
ILOC10400502,19,49,43,322,357,347,659,605,617,1220,821,867,130,180,150,1.4,1.1,1.2,3.9,2.1,2.4,23.1,3.8,7.4
ILOC10400503,21,43,42,374,476,472,909,917,917,1733,1600,1603,250,260,255,1.2,1.1,1.1,3.1,2.4,2.4,9.1,2.3,2.6
ILOC10400504,17,49,47,272,383,379,718,698,700,1603,1148,1192,135,190,180,1.2,1.1,1.1,3.4,2.2,2.3,16.2,2.5,3.4
ILOC10400505,23,48,48,354,393,392,971,781,789,1500,1200,1213,230,200,200,1.2,1.1,1.1,3.2,2.4,2.4,10.9,2.2,2.6
ILOC10400506,19,56,53,326,372,369,700,613,619,1502,1408,1408,192,180,180,1.3,1.1,1.1,3.2,1.9,2.0,17.7,1.5,2.7
ILOC10400507,18,43,41,346,462,457,864,850,850,1733,1517,1517,240,250,250,1.2,1.1,1.1,3.2,2.4,2.4,9.7,2.2,2.6
ILOC10400601,20,45,44,381,488,485,949,1010,1006,1192,1647,1603,200,180,185,1.1,1.1,1.1,3.2,2.5,2.5,5.5,2.1,2.3
ILOC10400602,26,51,50,386,426,423,859,804,808,1600,1517,1517,185,160,165,1.2,1.1,1.1,2.8,2.2,2.3,5.3,1.9,2.1
ILOC10400701,20,43,43,426,560,559,1311,1190,1193,1950,2080,2080,300,315,315,1.2,1.1,1.1,3.3,2.5,2.6,7.6,1.3,1.5
ILOC10400702,21,41,40,381,519,516,995,1028,1027,2000,1800,1800,275,270,270,1.2,1.1,1.1,3.0,2.4,2.4,7.7,2.3,2.4
ILOC10400801,24,50,49,366,400,398,790,782,783,1600,1300,1343,220,210,215,1.2,1.1,1.1,3.0,2.3,2.3,5.8,2.1,2.3
