region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA59100,37,16,8,6,231
LGA59170,42,29,12,4,311
LGA59250,46,13,0,0,598
LGA59310,76,28,18,9,484
LGA59320,22,12,6,0,139
LGA59330,21,29,14,6,174
LGA59340,397,135,16,4,3340
LGA59350,16,0,3,0,203
LGA59360,82,32,17,3,647
LGA59370,334,197,88,15,1362
LGA59399,24,9,6,0,300
LGA59499,765,318,53,9,4303
LGA60210,591,365,178,65,2448
LGA60410,765,379,139,51,4988
LGA60610,1088,760,451,217,7384
LGA60810,1518,936,540,176,8560
LGA61010,193,112,40,7,810
LGA61210,373,199,104,30,2511
LGA61410,3904,2400,1413,555,23013
LGA61510,581,349,150,41,3336
LGA61610,1503,1012,637,281,9427
LGA61810,454,289,159,41,2366
LGA62010,99,58,14,7,347
LGA62210,426,285,160,55,2250
LGA62410,426,343,113,58,1711
LGA62610,2314,1573,1098,410,16835
LGA62810,4484,2229,1332,678,27089
LGA63010,1196,688,272,69,6036
LGA63210,448,245,101,27,2264
LGA63410,151,83,32,13,652
LGA63610,2919,1675,908,316,16278
LGA63810,732,432,233,83,3861
LGA64010,3927,2379,1484,585,26140
LGA64210,1354,709,447,163,7298
LGA64610,850,562,277,75,4562
LGA64810,891,517,257,86,5415
LGA65010,404,233,79,16,2044
LGA65210,265,175,78,24,1051
LGA65410,924,587,322,95,5226
LGA65610,258,195,66,13,1683
LGA65810,1814,1091,560,213,9551
LGA69399,14,6,0,0,82
LGA69499,94,43,10,0,543
LGA70200,1727,561,177,64,12037
LGA70420,298,144,23,3,2162
LGA70540,3,0,3,0,33
LGA70620,115,27,15,6,1028
LGA70700,120,60,13,0,516
LGA71000,5198,2063,696,151,37566
LGA71300,208,54,7,0,1675
LGA72200,523,212,52,13,3919
LGA72300,1365,564,148,25,8790
LGA72330,163,59,16,3,1887
LGA72800,1058,361,134,44,11559
LGA73600,216,78,19,9,1703
LGA74050,74,18,3,0,605
LGA74500,184,51,28,3,1312
LGA74560,59,19,0,3,204
LGA74660,162,43,9,7,1538
LGA79399,492,102,15,0,4415
LGA79499,250,115,4,0,1090
LGA89399,26622,13424,6449,2626,187171
LGA89499,40,18,0,3,387
LGA99399,156,33,17,0,1690
LGA99499,0,0,0,0,19
