region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA36630,1908,1489,1703,1257,1257,1112,1079,1924,188,11917
LGA36660,2394,1692,1893,1403,1564,1339,1317,2529,209,14340
LGA36710,16489,24396,21757,14737,18364,15762,7168,14258,2142,135073
LGA36810,2907,2494,2648,1927,2020,1549,1447,2481,337,17810
LGA36910,8630,12184,10575,6809,9545,6407,4898,8691,1086,68825
LGA36950,147,299,146,177,231,65,51,168,57,1341
LGA36960,106,240,107,187,147,59,62,517,87,1512
LGA37010,8502,15059,14571,10598,12477,8452,7136,8638,1585,87018
LGA37300,150,278,433,134,186,93,395,132,41,1842
LGA37310,3075,1595,2193,1096,1669,1093,1612,1964,241,14538
LGA37340,2064,1614,2732,1501,1660,1371,1850,2398,279,15469
LGA37400,201,47,79,57,53,30,79,127,19,692
LGA37550,18,30,12,57,11,4,12,46,14,204
LGA37570,5,17,6,16,9,3,7,33,3,99
LGA37600,20,61,25,84,42,0,11,53,9,305
LGA39399,19,53,38,23,21,18,14,51,5,242
LGA39499,277,626,558,304,279,220,461,767,101,3593
LGA40070,1193,3554,702,1028,1124,694,164,484,148,9091
LGA40120,3241,5705,2753,1860,2676,1562,756,1484,250,20287
LGA40220,1512,1431,1643,1084,1155,880,669,1397,155,9926
LGA40250,72,211,28,133,52,22,4,160,33,715
LGA40310,1658,1704,1679,965,1345,866,760,1853,151,10981
LGA40430,299,102,106,90,85,37,76,117,16,928
LGA40520,649,587,594,499,490,364,272,796,67,4318
LGA40700,3268,7856,1354,1704,2847,1871,295,802,304,20301
LGA40910,2437,5226,2972,2136,3815,2400,946,1929,363,22224
LGA41010,319,195,200,223,187,106,163,256,42,1691
LGA41060,5482,9972,6787,4773,8088,4958,2927,4618,852,48457
LGA41140,949,644,587,338,470,318,243,621,54,4224
LGA41190,324,86,115,54,77,54,60,107,17,894
LGA41330,86,73,91,128,58,49,96,93,15,689
LGA41560,639,614,775,568,523,568,371,702,77,4837
LGA41750,222,58,50,33,38,26,21,74,6,528
LGA41830,135,109,141,86,71,43,70,88,16,759
