region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA55880,57,0,4,0,0,0,0,61
LGA55950,52,3,0,0,0,0,0,55
LGA56020,50,0,5,6,0,0,4,65
LGA56090,3929,408,184,49,3,8,14,4595
LGA56160,3,0,0,0,0,0,3,6
LGA56230,1271,130,101,11,0,4,11,1528
LGA56300,94,7,4,0,0,0,3,108
LGA56370,76,5,5,0,0,0,0,86
LGA56450,106,8,0,0,0,0,0,114
LGA56520,349,26,27,3,0,0,11,416
LGA56580,2760,124,50,9,0,0,6,2949
LGA56620,88,9,5,9,0,8,17,136
LGA56730,859,88,60,19,3,4,11,1044
LGA56790,276,13,7,5,0,0,5,306
LGA56860,23,0,0,0,0,0,0,23
LGA56930,178,4,3,0,0,0,3,188
LGA57000,58,5,5,0,0,0,0,68
LGA57080,555,46,5,0,0,3,3,612
LGA57140,95,11,3,0,0,3,0,112
LGA57210,437,25,20,5,0,0,3,490
LGA57280,1185,121,75,21,3,10,6,1421
LGA57350,75,6,6,3,0,0,0,90
LGA57420,191,16,12,3,0,0,0,222
LGA57490,11103,1183,811,105,7,30,79,13318
LGA57560,1925,167,128,31,0,6,15,2272
LGA57630,5,3,0,0,0,0,0,8
LGA57700,2134,206,121,26,0,5,12,2504
LGA57770,59,9,3,0,0,0,4,75
LGA57840,3516,266,67,21,0,3,8,3881
LGA57910,19084,1229,563,184,11,19,63,21153
LGA57980,1456,100,23,5,0,0,4,1588
LGA58050,12329,1095,703,161,13,20,72,14393
LGA58190,43,3,0,3,0,0,0,49
LGA58260,50,5,0,0,0,0,4,59
LGA58330,382,30,23,3,0,0,4,442
LGA58400,28,0,0,0,0,0,0,28
LGA58470,13,5,3,0,0,0,0,21
LGA58510,2367,214,76,19,0,3,9,2688
LGA58540,100,5,5,0,0,0,0,110
LGA58570,2544,182,61,11,0,0,8,2806
LGA58610,164,7,14,3,0,0,3,191
LGA58680,55,0,3,0,0,0,0,58
LGA58760,18496,1491,1103,215,10,31,78,21424
LGA58820,338,30,20,3,0,0,0,391
LGA58890,96,5,4,0,0,0,3,108
LGA59030,23,0,0,3,0,0,0,26
LGA59100,68,4,5,0,0,0,0,77
LGA59170,92,8,0,0,0,0,0,100
LGA59250,20,3,4,0,0,0,3,30
LGA59310,137,6,7,5,0,0,0,155
LGA59320,42,3,3,0,0,0,0,48
LGA59330,45,0,0,0,0,0,0,45
LGA59340,508,37,27,35,6,7,21,641
LGA59350,12,0,0,0,0,0,3,15
LGA59360,131,9,8,0,0,0,0,148
LGA59370,285,22,26,0,0,0,3,336
LGA59399,0,0,0,0,0,0,0,0
LGA59499,0,0,0,0,0,0,0,0
LGA60210,428,48,33,3,3,0,9,524
LGA60410,1452,174,122,18,3,4,15,1788
LGA60610,1629,216,144,18,0,3,12,2022
LGA60810,1926,238,134,9,0,8,25,2340
LGA61010,178,16,16,0,0,0,0,210
LGA61210,789,76,67,6,0,0,8,946
LGA61410,4943,560,304,38,4,4,35,5888
LGA61510,964,114,65,12,0,3,15,1173
LGA61610,1968,300,169,24,4,3,19,2487
LGA61810,589,57,47,3,0,0,3,699
LGA62010,54,5,0,0,0,0,4,63
LGA62210,576,58,50,9,0,0,4,697
LGA62410,276,31,23,0,0,0,0,330
LGA62610,3580,501,335,32,6,9,25,4488
LGA62810,4075,383,164,28,0,3,22,4675
LGA63010,1430,153,83,14,4,4,13,1701
LGA63210,577,63,51,3,0,0,6,700
LGA63410,120,11,7,0,0,0,0,138
LGA63610,3623,337,189,21,0,3,27,4200
LGA63810,894,105,69,6,0,0,8,1082
LGA64010,5329,609,401,25,3,9,40,6416
LGA64210,1943,189,120,11,0,0,18,2281
LGA64610,1169,140,92,4,0,3,12,1420
LGA64810,1197,163,100,15,0,0,12,1487
LGA65010,620,59,36,10,0,3,4,732
LGA65210,156,23,10,0,0,4,0,193
LGA65410,1230,136,95,13,0,0,6,1480
LGA65610,388,38,44,4,0,3,6,483
LGA65810,2230,198,124,11,0,0,13,2576
LGA69399,0,0,0,0,0,0,0,0
LGA69499,0,0,0,0,0,0,0,0
LGA70200,2199,217,115,59,7,12,49,2658
LGA70420,438,36,45,59,13,4,27,622
LGA70540,9,0,0,4,0,0,3,16
LGA70620,272,13,0,63,3,7,25,383
LGA70700,60,10,3,3,3,0,0,79
LGA71000,6265,668,338,105,14,10,45,7445
LGA71300,644,24,32,110,19,17,34,880
LGA72200,761,75,77,20,7,0,16,956
LGA72300,1802,194,116,25,0,13,15,2165
LGA72330,306,26,19,80,9,12,31,483
LGA72800,2791,335,275,39,0,12,24,3476
LGA73600,417,30,27,92,12,12,31,621
LGA74050,205,17,9,26,3,7,14,281
LGA74500,471,32,24,80,9,8,24,648
LGA74560,22,3,3,0,0,0,0,28
LGA74660,460,22,27,87,19,11,22,648
