region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA40430,80,16,96,328,129,12,469,1469,133,2071
LGA40520,185,76,264,1555,641,77,2273,5474,743,8490
LGA40700,1205,328,1557,6361,2889,315,9565,23851,2076,35492
LGA40910,1121,186,1325,7354,3337,269,10960,27028,2129,40117
LGA41010,36,7,43,500,233,36,769,1768,181,2718
LGA41060,2594,693,3316,15128,6864,605,22597,59682,6057,88336
LGA41140,170,42,212,1325,576,82,1983,4653,405,7041
LGA41190,39,10,49,285,106,12,403,912,54,1369
LGA41330,7,0,7,175,61,14,250,954,210,1414
LGA41560,283,53,339,1760,845,96,2701,7368,679,10748
LGA41750,15,0,15,181,53,3,237,570,37,844
LGA41830,40,6,46,230,94,10,334,938,114,1386
LGA41960,13,10,23,184,87,19,290,639,103,1032
LGA42030,407,83,493,3172,1368,168,4708,10965,1122,16795
LGA42110,101,18,119,608,253,32,893,2273,221,3387
LGA42250,42,42,84,1468,529,57,2054,3588,559,6201
LGA42600,1440,270,1724,4307,2549,221,7077,21074,2090,30241
LGA42750,84,20,104,696,289,43,1028,2346,253,3627
LGA43080,18,3,21,154,59,6,219,557,63,839
LGA43220,17,18,35,205,49,7,261,552,64,877
LGA43360,50,4,54,343,124,17,484,1313,125,1922
LGA43650,148,31,179,2569,856,164,3589,6537,545,10671
LGA43710,43,11,54,875,327,48,1250,2300,285,3835
LGA43790,282,40,331,1696,688,106,2490,6086,561,9137
LGA43920,66,6,72,1438,514,72,2024,4234,389,6647
LGA44000,0,0,0,9,15,3,27,27,3,57
LGA44060,1968,435,2418,12430,5447,658,18535,46858,4132,69525
LGA44210,116,20,136,998,513,63,1574,4584,735,6893
LGA44340,1679,249,1962,10232,4541,648,15421,34114,2387,51922
LGA44550,389,60,454,5545,2082,379,8006,14257,991,23254
LGA44620,444,79,526,4197,1866,251,6314,12555,1129,19998
LGA44830,62,12,74,391,163,23,577,1618,201,2396
LGA45040,327,77,407,2839,1199,152,4190,10195,1570,15955
LGA45090,166,36,205,1382,518,58,1958,4112,426,6496
LGA45120,121,6,127,699,292,33,1024,2460,184,3668
LGA45290,1116,155,1282,4720,2143,228,7091,21094,1844,30029
LGA45340,2263,530,2820,26736,11716,1653,40105,81322,7040,128467
LGA45400,30,9,39,120,48,0,168,530,50,748
LGA45540,32,11,43,218,92,8,318,978,130,1426
LGA45680,785,170,961,13118,4698,728,18544,37770,4586,60900
LGA45890,2220,562,2799,16584,6494,712,23790,61698,7925,93413
LGA46090,113,71,187,1897,930,128,2955,6517,1673,11145
LGA46300,280,65,345,2278,970,138,3386,7029,803,11218
LGA46450,368,56,427,2586,1099,146,3831,9070,966,13867
LGA46510,424,60,484,3250,1017,128,4395,11226,960,16581
LGA46670,115,70,188,1344,498,59,1901,4876,707,7484
LGA46860,19,0,22,204,88,17,309,768,90,1167
LGA46970,3,0,3,1011,139,47,1197,1955,475,3627
LGA47140,1400,339,1750,20989,8147,955,30091,66110,7271,103472
LGA47290,62,13,75,339,118,23,480,1119,97,1696
LGA47490,47,9,56,315,96,25,436,1091,148,1675
LGA47630,153,14,167,1142,361,57,1560,3366,217,5143
LGA47700,1356,292,1664,15501,7445,863,23809,50801,3665,78275
LGA47800,83,24,107,867,385,38,1290,2776,406,4472
LGA47910,72,20,92,357,201,30,588,1425,113,2126
LGA47980,1199,297,1512,5648,2335,285,8268,20776,1864,30908
LGA48050,534,150,684,1468,938,102,2508,8374,1125,12007
LGA48130,167,24,194,1026,426,66,1518,3400,373,5291
LGA48260,224,42,272,963,519,34,1516,4063,391,5970
LGA48340,195,51,249,1888,704,90,2682,6097,557,9336
LGA48410,1452,419,1885,7801,3250,310,11361,32367,3156,46884
LGA48540,241,66,307,3499,1395,161,5055,11119,1482,17656
LGA48640,36,9,45,239,69,18,326,595,46,967
LGA48750,95,24,119,559,342,35,936,2588,221,3745
LGA48830,293,40,337,1353,650,78,2081,6721,523,9325
LGA49399,11,5,16,620,182,27,829,2235,589,3653
LGA49499,58,11,75,298,153,9,460,1845,461,2766
LGA50080,618,130,752,5414,1922,348,7684,17176,2061,26921
LGA50210,520,136,662,10345,3801,655,14801,30211,3916,48928
LGA50250,3,0,3,1880,354,71,2305,4508,1402,8215
LGA50280,152,36,188,2145,610,154,2909,5532,853,9294
LGA50350,239,36,279,2220,861,126,3207,7818,822,11847
LGA50420,1149,200,1361,8790,3346,413,12549,35083,3917,51549
LGA50490,540,130,670,4936,1697,179,6812,19548,3030,29390
LGA50560,30,6,36,182,63,12,257,931,105,1293
LGA50630,15,3,18,374,93,33,500,959,390,1849
LGA50770,31,4,35,293,79,11,383,796,72,1251
LGA50840,55,9,64,694,236,36,966,2296,165,3427
LGA50910,31,6,37,142,51,3,196,483,68,747
LGA50980,27,16,43,2285,770,196,3251,6522,1602,11375
LGA51080,10,6,16,201,56,9,266,498,65,829
LGA51120,17,10,27,168,57,12,237,444,57,738
LGA51190,514,156,679,4491,1866,244,6601,16574,2671,25846
LGA51260,488,90,581,5345,1732,271,7348,14741,1694,23783
LGA51310,633,95,740,4543,1484,273,6300,12440,1074,19814
LGA51330,1053,219,1285,12810,4824,514,18148,47915,4726,70789
LGA51400,43,10,56,3020,709,152,3881,6004,725,10610
LGA51470,3,3,6,91,36,3,130,265,43,438
LGA51540,36,11,47,811,275,40,1126,2670,684,4480
LGA51610,3,0,6,224,65,10,299,550,65,914
LGA51680,20,6,29,789,264,27,1080,2122,252,3454
LGA51750,296,86,388,1245,571,61,1877,5256,690,7823
LGA51820,736,196,942,16182,5084,774,22040,44276,4618,70934
LGA51890,122,21,143,1494,589,75,2158,4571,631,7360
LGA51960,4,5,9,722,159,37,918,1639,439,2996
LGA52030,6,0,6,134,55,12,201,616,59,876
LGA52100,29,6,35,153,71,11,235,577,61,873
LGA52170,126,70,196,1154,501,53,1708,3894,676,6278
LGA52240,10,3,13,170,45,14,229,530,86,845
LGA52310,6,0,6,163,38,9,210,440,38,688
LGA52380,5,0,5,18,3,3,24,144,58,226
LGA52450,20,9,29,185,60,9,254,736,67,1057
LGA52520,11,6,17,204,80,13,297,667,53,1017
LGA52590,24,10,34,481,144,26,651,1614,307,2572
LGA52660,163,35,201,2374,747,141,3262,5674,613,9549
LGA52730,82,20,102,820,246,81,1147,2791,258,4196
LGA52800,24,8,32,973,504,115,1592,2758,2141,6491
LGA52870,62,13,75,837,308,35,1180,2825,276,4281
LGA52940,15,9,24,122,47,7,176,315,29,520
LGA53010,7,0,7,111,39,12,162,300,23,485
LGA53080,6,3,9,155,41,11,207,550,170,927
LGA53150,138,19,157,1230,472,67,1769,3484,377,5630
LGA53220,3,3,6,1771,564,165,2500,5335,2286,10121
