region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
LGA46510,225,70,485,4158,4710,2047,1313,3296,1057,16581
LGA46670,54,77,189,1362,1905,988,765,1682,785,7487
LGA46860,4,3,22,245,316,165,155,187,102,1170
LGA46970,0,3,3,858,947,354,308,670,488,3625
LGA47140,939,360,1751,21867,25927,11828,9962,25621,8267,103472
LGA47290,37,15,77,344,409,231,236,368,111,1699
LGA47490,25,11,54,307,439,205,218,344,161,1674
LGA47630,90,17,168,1054,1363,753,681,1012,278,5141
LGA47700,790,314,1661,17655,22341,10789,7847,15484,4158,78274
LGA47800,47,27,105,858,1065,601,634,871,441,4470
LGA47910,43,20,92,413,547,292,311,440,122,2125
LGA47980,816,297,1512,8009,9161,3758,2379,5648,1953,30908
LGA48050,263,156,686,1924,3012,2013,1603,2220,1235,12007
LGA48130,95,35,193,944,1291,723,764,1161,410,5293
LGA48260,142,48,273,1431,1633,736,548,1195,427,5970
LGA48340,115,56,250,1732,2423,1344,1281,1907,647,9334
LGA48410,811,431,1885,10981,12677,5328,3833,10603,3464,46886
LGA48540,150,72,306,2957,4361,2274,2064,4305,1694,17655
LGA48640,22,10,44,185,252,147,149,186,46,965
LGA48750,60,26,119,600,994,644,543,718,246,3745
LGA48830,185,47,338,1482,2222,1422,1489,2109,601,9325
LGA49399,8,4,18,701,738,296,280,1024,613,3652
LGA49499,57,11,77,537,512,175,125,937,480,2766
LGA50080,330,144,753,5207,7230,3856,3538,4870,2219,26920
LGA50210,297,156,662,10303,12622,5859,5662,10168,4312,48926
LGA50250,0,0,4,1413,1635,559,581,2586,1440,8214
LGA50280,90,30,190,1835,2617,1351,1150,1455,885,9293
LGA50350,131,42,280,2740,3231,1451,1183,2357,884,11846
LGA50420,750,197,1362,11976,13559,5499,4379,11903,4234,51550
LGA50490,308,146,673,6574,7252,2781,2444,7040,3299,29390
LGA50560,19,7,35,223,275,202,221,242,129,1292
LGA50630,12,3,20,348,358,184,188,374,399,1851
LGA50770,17,7,37,225,314,174,227,220,91,1251
LGA50840,28,3,64,584,941,534,599,573,195,3426
LGA50910,28,3,38,136,152,100,103,183,72,746
LGA50980,19,14,43,2675,2906,1080,865,2192,1656,11374
LGA51080,3,3,17,157,213,102,151,133,75,831
LGA51120,11,9,28,132,170,87,133,157,64,743
LGA51190,289,168,677,5164,6436,3132,2771,5468,2876,25847
LGA51260,279,98,582,4724,6300,3456,3228,4251,1824,23783
LGA51310,321,106,739,5135,5478,2627,2197,3229,1149,19815
LGA51330,592,233,1286,16967,17729,7807,6467,16663,5156,70789
LGA51400,14,11,58,2218,2959,1500,1443,1702,789,10611
LGA51470,3,3,6,79,114,58,59,85,44,439
LGA51540,21,13,45,788,1080,478,407,1006,722,4481
LGA51610,4,0,4,151,232,116,165,177,72,913
LGA51680,10,6,28,602,875,520,573,612,271,3453
LGA51750,146,88,388,2042,2029,950,700,1391,713,7825
LGA51820,431,207,942,16380,18698,8154,7235,15310,5157,70934
LGA51890,73,28,144,1300,1663,961,1026,1722,687,7359
