region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
LGA56300,82,661,76,1257
LGA56370,32,533,58,820
LGA56450,70,553,39,885
LGA56520,246,2652,266,4216
LGA56580,1436,8399,999,20529
LGA56620,10,1295,54,1440
LGA56730,578,5939,1046,10550
LGA56790,173,2025,229,3195
LGA56860,5,151,28,227
LGA56930,142,749,139,1536
LGA57000,49,525,79,907
LGA57080,535,3141,2878,16720
LGA57140,51,740,82,1159
LGA57210,327,2607,399,4884
LGA57280,676,6893,3307,15044
LGA57350,50,747,43,1049
LGA57420,115,1241,168,2133
LGA57490,6940,40424,7394,104113
LGA57560,1049,10158,5012,22907
LGA57630,6,54,18,110
LGA57700,1365,8073,1234,17748
LGA57770,47,494,41,856
LGA57840,2393,14778,3113,40742
LGA57910,10609,64650,14847,195702
LGA57980,1043,6047,1356,17581
LGA58050,6832,41512,8152,108454
LGA58190,19,277,30,404
LGA58260,35,387,48,617
LGA58330,260,2200,382,4387
LGA58400,16,214,16,346
LGA58470,7,186,25,242
LGA58510,1693,9804,3230,32431
LGA58540,54,575,62,899
LGA58570,1763,9975,2846,31550
LGA58610,127,1134,99,1847
LGA58680,33,281,17,437
LGA58760,8716,45460,10493,152087
LGA58820,236,2008,195,3589
LGA58890,48,612,45,865
LGA59030,22,162,15,273
LGA59100,45,512,59,755
LGA59170,58,666,48,913
LGA59250,48,589,147,1161
LGA59310,62,1000,89,1426
LGA59320,32,287,22,423
LGA59330,23,332,56,527
LGA59340,306,5138,912,7797
LGA59350,17,209,81,409
LGA59360,96,856,194,1630
LGA59370,191,1942,240,3387
LGA59399,18,163,69,409
LGA59499,297,2791,1344,7294
LGA60210,209,4395,419,6187
LGA60410,294,12304,1304,15462
LGA60610,541,14799,1182,19333
LGA60810,666,16255,1265,21350
LGA61010,44,1746,168,2260
LGA61210,204,6265,469,7975
LGA61410,1907,37190,3335,51852
LGA61510,226,7638,589,9711
LGA61610,721,18774,1609,24617
LGA61810,211,5420,390,6827
LGA62010,27,568,57,779
LGA62210,222,4782,387,6643
LGA62410,141,3115,256,4193
LGA62610,1363,31987,2849,44649
