region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
LGA13100,152,117,269,125,152,277,122,165,287,117,182,299,120,190,310,116,133,249,98,61,159,226,132,358,81,73,154,1157,1205,2362
LGA13310,24,22,46,30,26,56,25,32,57,26,34,60,19,41,60,25,22,47,16,11,27,33,31,64,103,16,119,301,235,536
LGA13320,38,38,76,59,64,123,68,78,146,55,88,143,51,80,131,46,40,86,24,17,41,52,20,72,30,25,55,423,450,873
LGA13340,9,9,18,3,3,6,4,6,10,13,12,25,0,10,10,6,3,9,4,0,4,11,9,20,0,5,5,50,57,107
LGA13380,57,64,121,106,113,219,160,183,343,108,127,235,68,126,194,64,60,124,27,30,57,55,35,90,43,68,111,688,806,1494
LGA13450,24,20,44,25,37,62,51,68,119,35,70,105,38,48,86,34,25,59,36,20,56,28,26,54,41,32,73,312,346,658
LGA13500,3,3,6,5,3,8,3,13,16,3,3,6,0,6,6,6,3,9,3,0,3,3,0,3,0,0,0,26,31,57
LGA13550,28,32,60,45,50,95,66,70,136,39,86,125,41,75,116,51,49,100,31,20,51,52,19,71,37,39,76,390,440,830
LGA13650,10,8,18,12,14,26,34,24,58,24,26,50,22,18,40,5,14,19,5,10,15,6,4,10,15,11,26,133,129,262
LGA13660,12,3,15,14,7,21,3,8,11,8,8,16,9,10,19,5,3,8,7,0,7,5,0,5,4,3,7,67,42,109
LGA13700,4,4,8,3,3,6,10,14,24,6,5,11,8,8,16,8,6,14,4,0,4,0,3,3,3,4,7,46,47,93
LGA13800,72,52,124,28,75,103,66,61,127,48,57,105,44,82,126,55,55,110,51,40,91,100,62,162,22,41,63,486,525,1011
LGA13850,4,3,7,5,7,12,12,5,17,5,9,14,3,7,10,7,3,10,0,3,3,8,3,11,6,4,10,50,44,94
LGA13950,24,28,52,15,28,43,39,31,70,32,48,80,18,49,67,29,34,63,26,24,50,55,37,92,26,25,51,264,304,568
LGA14000,11,29,40,17,28,45,10,27,37,8,19,27,19,23,42,14,23,37,15,12,27,62,39,101,12,14,26,168,214,382
LGA14100,13,3,16,3,0,3,0,0,0,0,5,5,3,0,3,0,0,0,0,0,0,3,3,6,3,3,6,25,14,39
LGA14150,22,15,37,7,18,25,11,21,32,12,29,41,20,30,50,20,11,31,13,11,24,36,23,59,14,10,24,155,168,323
LGA14200,31,27,58,47,43,90,66,65,131,48,50,98,34,41,75,28,34,62,12,7,19,26,16,42,39,35,74,331,318,649
LGA14250,3,0,3,0,3,3,0,3,3,0,4,4,3,3,6,3,3,6,0,3,3,0,3,3,0,0,0,9,22,31
LGA14300,11,3,14,3,6,9,6,14,20,7,17,24,4,4,8,5,8,13,0,4,4,12,4,16,195,3,198,243,63,306
LGA14350,78,57,135,90,88,178,176,174,350,161,223,384,93,150,243,49,82,131,29,39,68,57,53,110,246,101,347,979,967,1946
LGA14400,12,7,19,7,18,25,10,11,21,6,9,15,5,20,25,8,4,12,3,6,9,31,14,45,5,14,19,87,103,190
LGA14450,5,6,11,4,10,14,5,10,15,0,11,11,13,5,18,8,13,21,5,8,13,26,12,38,0,7,7,66,82,148
LGA14500,7,11,18,3,9,12,4,6,10,0,0,0,3,3,6,3,4,7,4,3,7,18,16,34,7,6,13,49,58,107
LGA14550,11,15,26,20,26,46,42,25,67,24,25,49,12,24,36,23,20,43,6,3,9,7,3,10,23,19,42,168,160,328
LGA14600,39,27,66,18,30,48,54,60,114,50,66,116,43,58,101,32,30,62,17,12,29,33,24,57,35,46,81,321,353,674
