region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE702012,3,41,32,73,107,118,225,3,0,3,0,6,6,110,124,234
IARE702013,7,13,11,24,48,57,105,0,7,7,4,3,7,52,67,119
IARE702014,3,34,45,79,81,95,176,0,9,9,0,3,3,81,107,188
IARE702015,3,13,8,21,39,28,67,0,0,0,3,0,3,42,28,70
IARE702016,0,4,7,11,35,31,66,3,0,3,0,0,0,38,31,69
IARE702017,3,40,45,85,96,93,189,6,13,19,3,3,6,105,109,214
IARE703001,400,301,263,564,63,61,124,773,679,1452,221,199,420,1057,939,1996
IARE703002,489,332,299,631,134,112,246,544,581,1125,264,241,505,942,934,1876
IARE703003,392,306,256,562,93,79,172,380,460,840,229,183,412,702,722,1424
IARE703004,213,205,126,331,94,103,197,132,120,252,133,86,219,359,309,668
IARE703005,1929,1493,947,2440,189,188,377,1569,1845,3414,1224,736,1960,2982,2769,5751
IARE703006,312,312,237,549,178,207,385,539,557,1096,203,140,343,920,904,1824
IARE703007,2154,1485,1133,2618,258,276,534,1881,1996,3877,1269,932,2201,3408,3204,6612
IARE703008,390,293,249,542,98,120,218,324,371,695,220,188,408,642,679,1321
IARE703009,320,1523,346,1869,546,105,651,1148,517,1665,188,143,331,1882,765,2647
IARE703010,315,260,201,461,99,74,173,446,503,949,183,141,324,728,718,1446
IARE703011,459,390,322,712,130,120,250,699,722,1421,262,203,465,1091,1045,2136
IARE703012,839,617,463,1080,53,60,113,726,787,1513,500,353,853,1279,1200,2479
IARE703013,2063,1484,1394,2878,602,646,1248,2865,3283,6148,1122,1032,2154,4589,4961,9550
IARE703014,691,521,430,951,125,123,248,1075,1149,2224,387,328,715,1587,1600,3187
IARE704001,55,91,48,139,217,179,396,78,60,138,36,19,55,331,258,589
IARE704002,204,165,104,269,92,82,174,127,115,242,128,84,212,347,281,628
IARE704003,16,83,56,139,394,348,742,22,29,51,13,3,16,429,380,809
IARE704004,11,57,58,115,376,346,722,19,22,41,8,3,11,403,371,774
IARE704005,11,61,49,110,343,330,673,4,15,19,6,5,11,353,350,703
IARE704006,16,68,58,126,390,382,772,25,24,49,14,5,19,429,411,840
IARE705001,13,111,112,223,169,166,335,18,13,31,8,5,13,195,184,379
IARE705002,7,25,27,52,81,83,164,12,5,17,4,3,7,97,91,188
IARE705003,28,76,81,157,225,246,471,34,51,85,19,9,28,278,306,584
IARE705004,13,99,83,182,238,250,488,27,15,42,9,4,13,274,269,543
IARE705005,706,601,510,1111,420,401,821,741,827,1568,401,336,737,1562,1564,3126
IARE705006,20,26,34,60,106,119,225,6,3,9,7,13,20,119,135,254
IARE705007,12,24,30,54,158,183,341,6,3,9,8,7,15,172,193,365
IARE705008,14,81,54,135,65,82,147,58,32,90,8,6,14,131,120,251
IARE705009,8,21,18,39,88,82,170,10,10,20,4,4,8,102,96,198
IARE706001,52,95,62,157,256,244,500,113,102,215,44,13,57,413,359,772
IARE706002,4,65,49,114,198,146,344,0,4,4,4,0,4,202,150,352
IARE706003,7,21,19,40,115,119,234,0,0,0,3,4,7,118,123,241
IARE706004,6,96,79,175,447,427,874,20,30,50,10,3,13,477,460,937
IARE706005,265,189,168,357,98,93,191,501,520,1021,151,130,281,750,743,1493
IARE706006,12,45,41,86,110,115,225,4,3,7,6,9,15,120,127,247
IARE706007,10,25,23,48,337,328,665,17,4,21,7,9,16,361,341,702
IARE706008,0,50,65,115,117,126,243,18,34,52,0,0,0,135,160,295
IARE707001,5,23,21,44,84,71,155,4,4,8,0,5,5,88,80,168
IARE707002,0,7,3,10,48,46,94,0,3,3,0,0,0,48,49,97
IARE707003,73,67,61,128,75,83,158,20,12,32,38,35,73,133,130,263
IARE707004,12,26,26,52,56,49,105,8,8,16,7,5,12,71,62,133
IARE707005,215,306,289,595,363,314,677,104,136,240,111,112,223,578,562,1140
IARE707006,0,10,8,18,66,90,156,6,0,6,0,0,0,72,90,162
IARE794994,207,162,116,278,16,20,36,83,77,160,129,78,207,228,175,403
IARE797997,10,7,3,10,0,0,0,0,3,3,7,3,10,7,6,13
IARE801001,6969,5602,4972,10574,488,464,952,27817,28342,56159,4102,3294,7396,32407,32100,64507
IARE801002,4263,4272,3559,7831,620,626,1246,21850,22288,44138,2564,2018,4582,25034,24932,49966
IARE801003,17,22,15,37,3,0,3,91,83,174,9,8,17,103,91,194
IARE894994,31,45,19,64,6,3,9,85,68,153,23,8,31,114,79,193
IARE897997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE901001,67,814,70,884,3,0,3,888,155,1043,38,35,73,929,190,1119
IARE901002,3,24,12,36,0,0,0,68,54,122,6,9,15,74,63,137
IARE902001,14,14,9,23,37,46,83,22,10,32,10,4,14,69,60,129
IARE994994,3,0,3,3,0,0,0,3,3,6,0,3,3,3,6,9
IARE997997,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
