region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
IARE202011,67,5920,5987,111,13556,13667,11,1080,1091,15,903,918,137,15539,15676,16,759,775,220,22218,22438
IARE202012,110,10245,10355,279,26900,27179,21,1618,1639,29,1599,1628,329,30117,30446,29,1379,1408,468,41741,42209
IARE202013,94,4048,4142,145,8411,8556,9,491,500,19,524,543,173,9426,9599,14,510,524,281,13984,14265
IARE202014,158,2231,2389,138,4091,4229,9,262,271,22,267,289,169,4620,4789,31,356,387,358,7207,7565
IARE202015,69,4671,4740,114,10616,10730,5,700,705,17,634,651,136,11950,12086,15,636,651,220,17257,17477
IARE202016,34,2354,2388,117,7990,8107,4,391,395,17,469,486,138,8850,8988,14,396,410,186,11600,11786
IARE202017,80,3162,3242,126,7327,7453,7,390,397,17,559,576,150,8276,8426,17,445,462,247,11883,12130
IARE202018,100,5991,6091,151,10912,11063,10,777,787,24,659,683,185,12348,12533,24,703,727,309,19042,19351
IARE202019,141,8925,9066,362,23231,23593,14,1264,1278,38,1380,1418,414,25875,26289,38,1197,1235,593,35997,36590
IARE294994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE297997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE301001,93,2779,2872,240,8758,8998,13,489,502,34,443,477,287,9690,9977,30,398,428,410,12867,13277
